,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
608,,,,11992,60,0.03883403100137936,,,,Feature,,,,,,,,,Category,,Subject,,,
609,,,,11982,70,0.01826536397474658,,,,Feature,,,,,,,,,Category,,Subject,,,
610,,,,12051,1,0.23922485830519216,,,,,Feature,,,,,,,,Category,,Subject,,,
611,,,,12047,5,1.1909396158905052,,,,,Feature,,,,,,,,Category,,Subject,,,
612,,,,12042,10,2.3647872478572056,,,,,Feature,,,,,,,,Category,,Subject,,,
613,,,,12037,15,3.5068940194710976,,,,,Feature,,,,,,,,Category,,Subject,,,
614,,,,12032,20,4.58660974682468,,,,,Feature,,,,,,,,Category,,Subject,,,
615,,,,12022,30,6.501559634339545,,,,,Feature,,,,,,,,Category,,Subject,,,
616,,,,12012,40,5.3763019820308395,,,,,Feature,,,,,,,,Category,,Subject,,,
617,,,,12002,50,4.013230243212509,,,,,Feature,,,,,,,,Category,,Subject,,,
618,,,,11992,60,3.0709724719086724,,,,,Feature,,,,,,,,Category,,Subject,,,
619,,,,11982,70,2.7513826799805776,,,,,Feature,,,,,,,,Category,,Subject,,,
620,,,,12051,1,0.9516312213451661,,,,,,Feature,,,,,,,Category,,Subject,,,
621,,,,12047,5,4.731457252148566,,,,,,Feature,,,,,,,Category,,Subject,,,
622,,,,12042,10,9.379919982757862,,,,,,Feature,,,,,,,Category,,Subject,,,
623,,,,12037,15,12.664094029442799,,,,,,Feature,,,,,,,Category,,Subject,,,
624,,,,12032,20,13.403144250444829,,,,,,Feature,,,,,,,Category,,Subject,,,
625,,,,12022,30,13.542350939688815,,,,,,Feature,,,,,,,Category,,Subject,,,
626,,,,12012,40,0.6946512325354378,,,,,,Feature,,,,,,,Category,,Subject,,,
627,,,,12002,50,0.08742398621092522,,,,,,Feature,,,,,,,Category,,Subject,,,
628,,,,11992,60,0.028752100760788678,,,,,,Feature,,,,,,,Category,,Subject,,,
629,,,,11982,70,0.013762038975557944,,,,,,Feature,,,,,,,Category,,Subject,,,
630,,,,12051,1,0.4529843729837148,,,,,,,Feature,,,,,,Category,,Subject,,,
631,,,,12047,5,2.2595744047977986,,,,,,,Feature,,,,,,Category,,Subject,,,
632,,,,12042,10,4.476912208038641,,,,,,,Feature,,,,,,Category,,Subject,,,
633,,,,12037,15,6.546075396630264,,,,,,,Feature,,,,,,Category,,Subject,,,
634,,,,12032,20,8.334844525029267,,,,,,,Feature,,,,,,Category,,Subject,,,
635,,,,12022,30,10.829929581267569,,,,,,,Feature,,,,,,Category,,Subject,,,
636,,,,12012,40,5.24569989135406,,,,,,,Feature,,,,,,Category,,Subject,,,
637,,,,12002,50,2.5372805105264256,,,,,,,Feature,,,,,,Category,,Subject,,,
638,,,,11992,60,1.3151499671112445,,,,,,,Feature,,,,,,Category,,Subject,,,
639,,,,11982,70,1.0794692718965235,,,,,,,Feature,,,,,,Category,,Subject,,,
640,,,,12051,1,0.3303827634082032,,,,,,,,Feature,,,,,Category,,Subject,,,
641,,,,12047,5,1.6490869297046948,,,,,,,,Feature,,,,,Category,,Subject,,,
642,,,,12042,10,3.275256851340305,,,,,,,,Feature,,,,,Category,,Subject,,,
643,,,,12037,15,4.824604081244006,,,,,,,,Feature,,,,,Category,,Subject,,,
644,,,,12032,20,6.232230364553247,,,,,,,,Feature,,,,,Category,,Subject,,,
645,,,,12022,30,8.56406841155722,,,,,,,,Feature,,,,,Category,,Subject,,,
646,,,,12012,40,5.7199933797132685,,,,,,,,Feature,,,,,Category,,Subject,,,
647,,,,12002,50,3.553407507362435,,,,,,,,Feature,,,,,Category,,Subject,,,
648,,,,11992,60,2.2688723546458838,,,,,,,,Feature,,,,,Category,,Subject,,,
649,,,,11982,70,1.888533921096634,,,,,,,,Feature,,,,,Category,,Subject,,,
650,,,,12051,1,0.4065266591012149,,,,,,,,,Feature,,,,Category,,Subject,,,
651,,,,12047,5,2.0288609447142743,,,,,,,,,Feature,,,,Category,,Subject,,,
652,,,,12042,10,4.029161423058215,,,,,,,,,Feature,,,,Category,,Subject,,,
653,,,,12037,15,5.931748332401749,,,,,,,,,Feature,,,,Category,,Subject,,,
654,,,,12032,20,7.617285732095927,,,,,,,,,Feature,,,,Category,,Subject,,,
655,,,,12022,30,10.154769817726939,,,,,,,,,Feature,,,,Category,,Subject,,,
656,,,,12012,40,5.731672593407568,,,,,,,,,Feature,,,,Category,,Subject,,,
657,,,,12002,50,3.080951386446847,,,,,,,,,Feature,,,,Category,,Subject,,,
658,,,,11992,60,1.628602408856754,,,,,,,,,Feature,,,,Category,,Subject,,,
659,,,,11982,70,1.2327370417621504,,,,,,,,,Feature,,,,Category,,Subject,,,
660,,,,12051,1,0.28266642211325405,,,,,,,,,,Feature,,,Category,,Subject,,,
661,,,,12047,5,1.4122034684973346,,,,,,,,,,Feature,,,Category,,Subject,,,
662,,,,12042,10,2.8103410829938347,,,,,,,,,,Feature,,,Category,,Subject,,,
663,,,,12037,15,4.164578375675333,,,,,,,,,,Feature,,,Category,,Subject,,,
664,,,,12032,20,5.449225402757272,,,,,,,,,,Feature,,,Category,,Subject,,,
665,,,,12022,30,7.746184224621726,,,,,,,,,,Feature,,,Category,,Subject,,,
666,,,,12012,40,5.881057674019562,,,,,,,,,,Feature,,,Category,,Subject,,,
667,,,,12002,50,3.9091287064622415,,,,,,,,,,Feature,,,Category,,Subject,,,
668,,,,11992,60,2.5787964436725703,,,,,,,,,,Feature,,,Category,,Subject,,,
669,,,,11982,70,2.1754962696726943,,,,,,,,,,Feature,,,Category,,Subject,,,
670,,,,12051,1,0.45028029682646337,,,,,,,,,,,Feature,,Category,,Subject,,,
671,,,,12047,5,2.249957212038375,,,,,,,,,,,Feature,,Category,,Subject,,,
672,,,,12042,10,4.47198276688571,,,,,,,,,,,Feature,,Category,,Subject,,,
673,,,,12037,15,6.5767510360569394,,,,,,,,,,,Feature,,Category,,Subject,,,
674,,,,12032,20,8.443061844193455,,,,,,,,,,,Feature,,Category,,Subject,,,
675,,,,12022,30,11.157222026073002,,,,,,,,,,,Feature,,Category,,Subject,,,
676,,,,12012,40,5.300617624084188,,,,,,,,,,,Feature,,Category,,Subject,,,
677,,,,12002,50,2.206220264767694,,,,,,,,,,,Feature,,Category,,Subject,,,
678,,,,11992,60,1.0443063785972055,,,,,,,,,,,Feature,,Category,,Subject,,,
679,,,,11982,70,0.7824965894638088,,,,,,,,,,,Feature,,Category,,Subject,,,
680,,,,12051,1,0.9704435334265736,,,,,,,,,,,,Feature,Category,,Subject,,,
681,,,,12047,5,4.815989654097526,,,,,,,,,,,,Feature,Category,,Subject,,,
682,,,,12042,10,9.544306861239656,,,,,,,,,,,,Feature,Category,,Subject,,,
683,,,,12037,15,12.815225178096835,,,,,,,,,,,,Feature,Category,,Subject,,,
684,,,,12032,20,13.439102283034526,,,,,,,,,,,,Feature,Category,,Subject,,,
685,,,,12022,30,13.542018216348271,,,,,,,,,,,,Feature,Category,,Subject,,,
686,,,,12012,40,0.6039126544715051,,,,,,,,,,,,Feature,Category,,Subject,,,
687,,,,12002,50,0.07868380417192053,,,,,,,,,,,,Feature,Category,,Subject,,,
688,,,,11992,60,0.028752100760788678,,,,,,,,,,,,Feature,Category,,Subject,,,
689,,,,11982,70,0.013762038975557944,,,,,,,,,,,,Feature,Category,,Subject,,,
690,,Category,Feature,12051,1,0.9516312213451661,,,,,,,,,,,,,,,,Subject,,
691,,Category,Feature,12047,5,4.731457252148566,,,,,,,,,,,,,,,,Subject,,
692,,Category,Feature,12042,10,9.379919982757862,,,,,,,,,,,,,,,,Subject,,
693,,Category,Feature,12037,15,12.664094029442799,,,,,,,,,,,,,,,,Subject,,
694,,Category,Feature,12032,20,13.403144250444829,,,,,,,,,,,,,,,,Subject,,
695,,Category,Feature,12022,30,13.542350939688815,,,,,,,,,,,,,,,,Subject,,
696,,Category,Feature,12012,40,0.6946512325354378,,,,,,,,,,,,,,,,Subject,,
697,,Category,Feature,12002,50,0.08742398621092522,,,,,,,,,,,,,,,,Subject,,
698,,Category,Feature,11992,60,0.028752100760788678,,,,,,,,,,,,,,,,Subject,,
699,,Category,Feature,11982,70,0.013762038975557944,,,,,,,,,,,,,,,,Subject,,
700,,,,12051,1,0.44374282762617023,Category,Feature,,,,,,,,,,,,,,Subject,,
701,,,,12047,5,2.217138342391793,Category,Feature,,,,,,,,,,,,,,Subject,,
702,,,,12042,10,4.404378990829979,Category,Feature,,,,,,,,,,,,,,Subject,,
703,,,,12037,15,6.473559403200319,Category,Feature,,,,,,,,,,,,,,Subject,,
704,,,,12032,20,8.30931619962395,Category,Feature,,,,,,,,,,,,,,Subject,,
705,,,,12022,30,11.015142342508554,Category,Feature,,,,,,,,,,,,,,Subject,,
706,,,,12012,40,5.369098186266428,Category,Feature,,,,,,,,,,,,,,Subject,,
707,,,,12002,50,2.2963383959077204,Category,Feature,,,,,,,,,,,,,,Subject,,
708,,,,11992,60,1.0756708387787095,Category,Feature,,,,,,,,,,,,,,Subject,,
709,,,,11982,70,0.7727114431168755,Category,Feature,,,,,,,,,,,,,,Subject,,
710,,,,12051,1,0.4065266591012149,Category,,Feature,,,,,,,,,,,,,Subject,,
711,,,,12047,5,2.0288609447142743,Category,,Feature,,,,,,,,,,,,,Subject,,
712,,,,12042,10,4.029161423058215,Category,,Feature,,,,,,,,,,,,,Subject,,
713,,,,12037,15,5.931748332401749,Category,,Feature,,,,,,,,,,,,,Subject,,
714,,,,12032,20,7.617285732095927,Category,,Feature,,,,,,,,,,,,,Subject,,
715,,,,12022,30,10.154769817726939,Category,,Feature,,,,,,,,,,,,,Subject,,
716,,,,12012,40,5.731672593407568,Category,,Feature,,,,,,,,,,,,,Subject,,
717,,,,12002,50,3.080951386446847,Category,,Feature,,,,,,,,,,,,,Subject,,
718,,,,11992,60,1.628602408856754,Category,,Feature,,,,,,,,,,,,,Subject,,
719,,,,11982,70,1.2327370417621504,Category,,Feature,,,,,,,,,,,,,Subject,,
720,,,,12051,1,0.0508834074692811,Category,,,Feature,,,,,,,,,,,,Subject,,
721,,,,12047,5,0.2246686520204632,Category,,,Feature,,,,,,,,,,,,Subject,,
722,,,,12042,10,0.41118190204264726,Category,,,Feature,,,,,,,,,,,,Subject,,
723,,,,12037,15,0.5745437298876687,Category,,,Feature,,,,,,,,,,,,Subject,,
724,,,,12032,20,0.7139390294325993,Category,,,Feature,,,,,,,,,,,,Subject,,
725,,,,12022,30,0.9374252507689237,Category,,,Feature,,,,,,,,,,,,Subject,,
726,,,,12012,40,0.8707734066406625,Category,,,Feature,,,,,,,,,,,,Subject,,
727,,,,12002,50,0.8292189424737902,Category,,,Feature,,,,,,,,,,,,Subject,,
728,,,,11992,60,0.836956244974718,Category,,,Feature,,,,,,,,,,,,Subject,,
729,,,,11982,70,0.8442260240400382,Category,,,Feature,,,,,,,,,,,,Subject,,
730,,,,12051,1,0.022949339986373916,Category,,,,Feature,,,,,,,,,,,Subject,,
731,,,,12047,5,0.11245341772450701,Category,,,,Feature,,,,,,,,,,,Subject,,
732,,,,12042,10,0.21688164249907346,Category,,,,Feature,,,,,,,,,,,Subject,,
733,,,,12037,15,0.31465225838173616,Category,,,,Feature,,,,,,,,,,,Subject,,
734,,,,12032,20,0.4044761937646316,Category,,,,Feature,,,,,,,,,,,Subject,,
735,,,,12022,30,0.5664790648322957,Category,,,,Feature,,,,,,,,,,,Subject,,
736,,,,12012,40,0.6090364292455693,Category,,,,Feature,,,,,,,,,,,Subject,,
737,,,,12002,50,0.622741403743193,Category,,,,Feature,,,,,,,,,,,Subject,,
738,,,,11992,60,0.6218716851000929,Category,,,,Feature,,,,,,,,,,,Subject,,
739,,,,11982,70,0.6205428380253976,Category,,,,Feature,,,,,,,,,,,Subject,,
740,,,,12051,1,0.07156744218041451,Category,,,,,Feature,,,,,,,,,,Subject,,
741,,,,12047,5,0.28976982108274896,Category,,,,,Feature,,,,,,,,,,Subject,,
742,,,,12042,10,0.5089388377556131,Category,,,,,Feature,,,,,,,,,,Subject,,
743,,,,12037,15,0.6834896641066472,Category,,,,,Feature,,,,,,,,,,Subject,,
744,,,,12032,20,0.826853764801134,Category,,,,,Feature,,,,,,,,,,Subject,,
745,,,,12022,30,1.0560754585682202,Category,,,,,Feature,,,,,,,,,,Subject,,
746,,,,12012,40,0.9191627727227636,Category,,,,,Feature,,,,,,,,,,Subject,,
747,,,,12002,50,0.875728507909742,Category,,,,,Feature,,,,,,,,,,Subject,,
748,,,,11992,60,0.8770178846144645,Category,,,,,Feature,,,,,,,,,,Subject,,
749,,,,11982,70,0.8798030814910122,Category,,,,,Feature,,,,,,,,,,Subject,,
750,,,,12051,1,0.013001339177218976,Category,,,,,,Feature,,,,,,,,,Subject,,
751,,,,12047,5,0.06500596651354103,Category,,,,,,Feature,,,,,,,,,Subject,,
752,,,,12042,10,0.12811704408708174,Category,,,,,,Feature,,,,,,,,,Subject,,
753,,,,12037,15,0.18839359329431693,Category,,,,,,Feature,,,,,,,,,Subject,,
754,,,,12032,20,0.24851708318849663,Category,,,,,,Feature,,,,,,,,,Subject,,
755,,,,12022,30,0.3635856205616199,Category,,,,,,Feature,,,,,,,,,Subject,,
756,,,,12012,40,0.4240574176278493,Category,,,,,,Feature,,,,,,,,,Subject,,
757,,,,12002,50,0.44863667610995445,Category,,,,,,Feature,,,,,,,,,Subject,,
758,,,,11992,60,0.46051422153174393,Category,,,,,,Feature,,,,,,,,,Subject,,
759,,,,11982,70,0.4656943128570507,Category,,,,,,Feature,,,,,,,,,Subject,,
760,,,,12051,1,0.01923938609661332,Category,,,,,,,Feature,,,,,,,,Subject,,
761,,,,12047,5,0.0923285697037047,Category,,,,,,,Feature,,,,,,,,Subject,,
762,,,,12042,10,0.17713717108578672,Category,,,,,,,Feature,,,,,,,,Subject,,
763,,,,12037,15,0.2578834376605811,Category,,,,,,,Feature,,,,,,,,Subject,,
764,,,,12032,20,0.3292719946427889,Category,,,,,,,Feature,,,,,,,,Subject,,
765,,,,12022,30,0.46133870885391964,Category,,,,,,,Feature,,,,,,,,Subject,,
766,,,,12012,40,0.49518575132284226,Category,,,,,,,Feature,,,,,,,,Subject,,
767,,,,12002,50,0.5017662221731348,Category,,,,,,,Feature,,,,,,,,Subject,,
768,,,,11992,60,0.5122159628302185,Category,,,,,,,Feature,,,,,,,,Subject,,
769,,,,11982,70,0.5196387885821792,Category,,,,,,,Feature,,,,,,,,Subject,,
770,,,,12051,1,0.013001339177218976,Category,,,,,,,,Feature,,,,,,,Subject,,
771,,,,12047,5,0.06109533780131683,Category,,,,,,,,Feature,,,,,,,Subject,,
772,,,,12042,10,0.1202848849223868,Category,,,,,,,,Feature,,,,,,,Subject,,
773,,,,12037,15,0.17804325495739956,Category,,,,,,,,Feature,,,,,,,Subject,,
774,,,,12032,20,0.23576008666150938,Category,,,,,,,,Feature,,,,,,,Subject,,
775,,,,12022,30,0.35120179979674915,Category,,,,,,,,Feature,,,,,,,Subject,,
776,,,,12012,40,0.428562375264301,Category,,,,,,,,Feature,,,,,,,Subject,,
777,,,,12002,50,0.48532548078093,Category,,,,,,,,Feature,,,,,,,Subject,,
778,,,,11992,60,0.5350736368377912,Category,,,,,,,,Feature,,,,,,,Subject,,
779,,,,11982,70,0.5504049945498537,Category,,,,,,,,Feature,,,,,,,Subject,,
780,,,,12051,1,0.011365575557510275,Category,,,,,,,,,Feature,,,,,,Subject,,
781,,,,12047,5,0.05598990818599378,Category,,,,,,,,,Feature,,,,,,Subject,,
782,,,,12042,10,0.11068440498702171,Category,,,,,,,,,Feature,,,,,,Subject,,
783,,,,12037,15,0.16493647306895615,Category,,,,,,,,,Feature,,,,,,Subject,,
784,,,,12032,20,0.21619469976066769,Category,,,,,,,,,Feature,,,,,,Subject,,
785,,,,12022,30,0.31085486286211556,Category,,,,,,,,,Feature,,,,,,Subject,,
786,,,,12012,40,0.348974655216616,Category,,,,,,,,,Feature,,,,,,Subject,,
787,,,,12002,50,0.359680062449461,Category,,,,,,,,,Feature,,,,,,Subject,,
788,,,,11992,60,0.37072515468271106,Category,,,,,,,,,Feature,,,,,,Subject,,
789,,,,11982,70,0.3794691858800809,Category,,,,,,,,,Feature,,,,,,Subject,,
790,,,,12051,1,0.02440091432765544,Category,,,,,,,,,,Feature,,,,,Subject,,
791,,,,12047,5,0.11825626883188717,Category,,,,,,,,,,Feature,,,,,Subject,,
792,,,,12042,10,0.22523127649474553,Category,,,,,,,,,,Feature,,,,,Subject,,
793,,,,12037,15,0.323846510117153,Category,,,,,,,,,,Feature,,,,,Subject,,
794,,,,12032,20,0.4133275489701283,Category,,,,,,,,,,Feature,,,,,Subject,,
795,,,,12022,30,0.5726799373594637,Category,,,,,,,,,,Feature,,,,,Subject,,
796,,,,12012,40,0.5871796406033571,Category,,,,,,,,,,Feature,,,,,Subject,,
797,,,,12002,50,0.5724756554127717,Category,,,,,,,,,,Feature,,,,,Subject,,
798,,,,11992,60,0.5655418324471706,Category,,,,,,,,,,Feature,,,,,Subject,,
799,,,,11982,70,0.5686633502529832,Category,,,,,,,,,,Feature,,,,,Subject,,
800,,,,12051,1,0.28266642211325405,Category,,,,,,,,,,,Feature,,,,Subject,,
801,,,,12047,5,1.4122034684973346,Category,,,,,,,,,,,Feature,,,,Subject,,
802,,,,12042,10,2.8103410829938347,Category,,,,,,,,,,,Feature,,,,Subject,,
803,,,,12037,15,4.164578375675333,Category,,,,,,,,,,,Feature,,,,Subject,,
804,,,,12032,20,5.449225402757272,Category,,,,,,,,,,,Feature,,,,Subject,,
805,,,,12022,30,7.746184224621726,Category,,,,,,,,,,,Feature,,,,Subject,,
806,,,,12012,40,5.881057674019562,Category,,,,,,,,,,,Feature,,,,Subject,,
807,,,,12002,50,3.9091287064622415,Category,,,,,,,,,,,Feature,,,,Subject,,
808,,,,11992,60,2.5787964436725703,Category,,,,,,,,,,,Feature,,,,Subject,,
809,,,,11982,70,2.1754962696726943,Category,,,,,,,,,,,Feature,,,,Subject,,
810,,,,12051,1,0.35038244941704627,,Feature,,,,,,,,,,,Category,,,Subject,,
811,,,,12047,5,1.7489032086465506,,Feature,,,,,,,,,,,Category,,,Subject,,
812,,,,12042,10,3.4716701068283653,,Feature,,,,,,,,,,,Category,,,Subject,,
813,,,,12037,15,5.124537364133104,,Feature,,,,,,,,,,,Category,,,Subject,,
814,,,,12032,20,6.64866685660549,,Feature,,,,,,,,,,,Category,,,Subject,,
815,,,,12022,30,9.119925634204627,,Feature,,,,,,,,,,,Category,,,Subject,,
816,,,,12012,40,5.897968025563908,,Feature,,,,,,,,,,,Category,,,Subject,,
817,,,,12002,50,3.4640959068706345,,Feature,,,,,,,,,,,Category,,,Subject,,
818,,,,11992,60,2.1154921583117012,,Feature,,,,,,,,,,,Category,,,Subject,,
819,,,,11982,70,1.7344122644223416,,Feature,,,,,,,,,,,Category,,,Subject,,
820,,,,12051,1,0.4140321131898591,,,Feature,,,,,,,,,,Category,,,Subject,,
821,,,,12047,5,2.068262573350413,,,Feature,,,,,,,,,,Category,,,Subject,,
822,,,,12042,10,4.10458290855001,,,Feature,,,,,,,,,,Category,,,Subject,,
823,,,,12037,15,6.037439802507878,,,Feature,,,,,,,,,,Category,,,Subject,,
824,,,,12032,20,7.770774276038612,,,Feature,,,,,,,,,,Category,,,Subject,,
825,,,,12022,30,10.392895501434246,,,Feature,,,,,,,,,,Category,,,Subject,,
826,,,,12012,40,5.573363705148926,,,Feature,,,,,,,,,,Category,,,Subject,,
827,,,,12002,50,2.724116591671496,,,Feature,,,,,,,,,,Category,,,Subject,,
828,,,,11992,60,1.482564446625202,,,Feature,,,,,,,,,,Category,,,Subject,,
829,,,,11982,70,1.1567014681682102,,,Feature,,,,,,,,,,Category,,,Subject,,
830,,,,12051,1,0.8550796857725844,,,,Feature,,,,,,,,,Category,,,Subject,,
831,,,,12047,5,4.268239822679643,,,,Feature,,,,,,,,,Category,,,Subject,,
832,,,,12042,10,8.473473679010306,,,,Feature,,,,,,,,,Category,,,Subject,,
833,,,,12037,15,11.778217422662092,,,,Feature,,,,,,,,,Category,,,Subject,,
834,,,,12032,20,13.105187010449413,,,,Feature,,,,,,,,,Category,,,Subject,,
835,,,,12022,30,13.522104945141031,,,,Feature,,,,,,,,,Category,,,Subject,,
836,,,,12012,40,1.2034694620907032,,,,Feature,,,,,,,,,Category,,,Subject,,
837,,,,12002,50,0.1698071081658901,,,,Feature,,,,,,,,,Category,,,Subject,,
838,,,,11992,60,0.01750191139623203,,,,Feature,,,,,,,,,Category,,,Subject,,
839,,,,11982,70,0.003753403990031899,,,,Feature,,,,,,,,,Category,,,Subject,,
840,,,,12051,1,0.24113438301515358,,,,,Feature,,,,,,,,Category,,,Subject,,
841,,,,12047,5,1.200605470388066,,,,,Feature,,,,,,,,Category,,,Subject,,
842,,,,12042,10,2.3846641225765888,,,,,Feature,,,,,,,,Category,,,Subject,,
843,,,,12037,15,3.5360720981307914,,,,,Feature,,,,,,,,Category,,,Subject,,
844,,,,12032,20,4.62506112806,,,,,Feature,,,,,,,,Category,,,Subject,,
845,,,,12022,30,6.561617753137939,,,,,Feature,,,,,,,,Category,,,Subject,,
846,,,,12012,40,5.418521386578638,,,,,Feature,,,,,,,,Category,,,Subject,,
847,,,,12002,50,3.996309635342514,,,,,Feature,,,,,,,,Category,,,Subject,,
848,,,,11992,60,3.0248949159768146,,,,,Feature,,,,,,,,Category,,,Subject,,
849,,,,11982,70,2.702992799826103,,,,,Feature,,,,,,,,Category,,,Subject,,
850,,,,12051,1,0.954365177969624,,,,,,Feature,,,,,,,Category,,,Subject,,
851,,,,12047,5,4.7470091872045055,,,,,,Feature,,,,,,,Category,,,Subject,,
852,,,,12042,10,9.412859494735653,,,,,,Feature,,,,,,,Category,,,Subject,,
853,,,,12037,15,12.701143600866684,,,,,,Feature,,,,,,,Category,,,Subject,,
854,,,,12032,20,13.430472734870554,,,,,,Feature,,,,,,,Category,,,Subject,,
855,,,,12022,30,13.547585408736678,,,,,,Feature,,,,,,,Category,,,Subject,,
856,,,,12012,40,0.6383900757646314,,,,,,Feature,,,,,,,Category,,,Subject,,
857,,,,12002,50,0.059953181773170584,,,,,,Feature,,,,,,,Category,,,Subject,,
858,,,,11992,60,0.01000133314385093,,,,,,Feature,,,,,,,Category,,,Subject,,
859,,,,11982,70,0.0025022793769253933,,,,,,Feature,,,,,,,Category,,,Subject,,
860,,,,12051,1,0.45513931116580253,,,,,,,Feature,,,,,,Category,,,Subject,,
861,,,,12047,5,2.2710321499318833,,,,,,,Feature,,,,,,Category,,,Subject,,
862,,,,12042,10,4.50176803692631,,,,,,,Feature,,,,,,Category,,,Subject,,
863,,,,12037,15,6.583671826422504,,,,,,,Feature,,,,,,Category,,,Subject,,
864,,,,12032,20,8.381950831622648,,,,,,,Feature,,,,,,Category,,,Subject,,
865,,,,12022,30,10.894974406480697,,,,,,,Feature,,,,,,Category,,,Subject,,
866,,,,12012,40,5.2296481778629715,,,,,,,Feature,,,,,,Category,,,Subject,,
867,,,,12002,50,2.488798971549891,,,,,,,Feature,,,,,,Category,,,Subject,,
868,,,,11992,60,1.2750882515745605,,,,,,,Feature,,,,,,Category,,,Subject,,
869,,,,11982,70,1.0413509535559653,,,,,,,Feature,,,,,,Category,,,Subject,,
870,,,,12051,1,0.3300548396947549,,,,,,,,Feature,,,,,Category,,,Subject,,
871,,,,12047,5,1.647232702051269,,,,,,,,Feature,,,,,Category,,,Subject,,
872,,,,12042,10,3.270716299261291,,,,,,,,Feature,,,,,Category,,,Subject,,
873,,,,12037,15,4.817643162683505,,,,,,,,Feature,,,,,Category,,,Subject,,
874,,,,12032,20,6.227950722790205,,,,,,,,Feature,,,,,Category,,,Subject,,
875,,,,12022,30,8.577347128094484,,,,,,,,Feature,,,,,Category,,,Subject,,
876,,,,12012,40,5.7653778862386735,,,,,,,,Feature,,,,,Category,,,Subject,,
877,,,,12002,50,3.5935899088648884,,,,,,,,Feature,,,,,Category,,,Subject,,
878,,,,11992,60,2.2738080433250194,,,,,,,,Feature,,,,,Category,,,Subject,,
879,,,,11982,70,1.883904707579689,,,,,,,,Feature,,,,,Category,,,Subject,,
880,,,,12051,1,0.40971289973378494,,,,,,,,,Feature,,,,Category,,,Subject,,
881,,,,12047,5,2.0453686494593284,,,,,,,,,Feature,,,,Category,,,Subject,,
882,,,,12042,10,4.062239938043034,,,,,,,,,Feature,,,,Category,,,Subject,,
883,,,,12037,15,5.983466472607323,,,,,,,,,Feature,,,,Category,,,Subject,,
884,,,,12032,20,7.689165232496561,,,,,,,,,Feature,,,,Category,,,Subject,,
885,,,,12022,30,10.261994931942587,,,,,,,,,Feature,,,,Category,,,Subject,,
886,,,,12012,40,5.758869846907325,,,,,,,,,Feature,,,,Category,,,Subject,,
887,,,,12002,50,3.0250760386813744,,,,,,,,,Feature,,,,Category,,,Subject,,
888,,,,11992,60,1.5435833751441947,,,,,,,,,Feature,,,,Category,,,Subject,,
889,,,,11982,70,1.1414330220250606,,,,,,,,,Feature,,,,Category,,,Subject,,
890,,,,12051,1,0.2854974118197434,,,,,,,,,,Feature,,,Category,,,Subject,,
891,,,,12047,5,1.4260495306010312,,,,,,,,,,Feature,,,Category,,,Subject,,
892,,,,12042,10,2.838703948908689,,,,,,,,,,Feature,,,Category,,,Subject,,
893,,,,12037,15,4.208160380028599,,,,,,,,,,Feature,,,Category,,,Subject,,
894,,,,12032,20,5.513039702780661,,,,,,,,,,Feature,,,Category,,,Subject,,
895,,,,12022,30,7.84985028949566,,,,,,,,,,Feature,,,Category,,,Subject,,
896,,,,12012,40,5.925953978995232,,,,,,,,,,Feature,,,Category,,,Subject,,
897,,,,12002,50,3.8858502593504283,,,,,,,,,,Feature,,,Category,,,Subject,,
898,,,,11992,60,2.4992076260017346,,,,,,,,,,Feature,,,Category,,,Subject,,
899,,,,11982,70,2.0889341971527795,,,,,,,,,,Feature,,,Category,,,Subject,,
900,,,,12051,1,0.4489238978247249,,,,,,,,,,,Feature,,Category,,,Subject,,
901,,,,12047,5,2.2432604574131103,,,,,,,,,,,Feature,,Category,,,Subject,,
902,,,,12042,10,4.45763561256196,,,,,,,,,,,Feature,,Category,,,Subject,,
903,,,,12037,15,6.556906344337812,,,,,,,,,,,Feature,,Category,,,Subject,,
904,,,,12032,20,8.423001121923642,,,,,,,,,,,Feature,,Category,,,Subject,,
905,,,,12022,30,11.143223696363044,,,,,,,,,,,Feature,,Category,,,Subject,,
906,,,,12012,40,5.327293526654081,,,,,,,,,,,Feature,,Category,,,Subject,,
907,,,,12002,50,2.206167239540522,,,,,,,,,,,Feature,,Category,,,Subject,,
908,,,,11992,60,1.000633424302409,,,,,,,,,,,Feature,,Category,,,Subject,,
909,,,,11982,70,0.7338537962497722,,,,,,,,,,,Feature,,Category,,,Subject,,
910,,,,12051,1,0.9734002485522244,,,,,,,,,,,,Feature,Category,,,Subject,,
911,,,,12047,5,4.83367421296639,,,,,,,,,,,,Feature,Category,,,Subject,,
912,,,,12042,10,9.587117083331997,,,,,,,,,,,,Feature,Category,,,Subject,,
913,,,,12037,15,12.868386406331503,,,,,,,,,,,,Feature,Category,,,Subject,,
914,,,,12032,20,13.470242970671269,,,,,,,,,,,,Feature,Category,,,Subject,,
915,,,,12022,30,13.550198111243265,,,,,,,,,,,,Feature,Category,,,Subject,,
916,,,,12012,40,0.5370882189581192,,,,,,,,,,,,Feature,Category,,,Subject,,
917,,,,12002,50,0.046215953903670136,,,,,,,,,,,,Feature,Category,,,Subject,,
918,,,,11992,60,0.007501060073845583,,,,,,,,,,,,Feature,Category,,,Subject,,
