,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
115,Subject,,,12022,30,1.8684588202333454,Category,,,,,,,,,,,Feature,,,,,,
116,Subject,,,12012,40,1.3741178805952654,Category,,,,,,,,,,,Feature,,,,,,
117,Subject,,,12002,50,1.301318893708828,Category,,,,,,,,,,,Feature,,,,,,
118,Subject,,,11992,60,1.2775159405519638,Category,,,,,,,,,,,Feature,,,,,,
119,Subject,,,11982,70,1.2758974324921597,Category,,,,,,,,,,,Feature,,,,,,
120,Subject,,,12051,1,0.3404631142952375,,Feature,,,,,,,,,,,Category,,,,,
121,Subject,,,12047,5,1.699631949892696,,Feature,,,,,,,,,,,Category,,,,,
122,Subject,,,12042,10,3.3736606097622763,,Feature,,,,,,,,,,,Category,,,,,
123,Subject,,,12037,15,4.981192193905045,,Feature,,,,,,,,,,,Category,,,,,
124,Subject,,,12032,20,6.462404546731426,,Feature,,,,,,,,,,,Category,,,,,
125,Subject,,,12022,30,8.89043695539736,,Feature,,,,,,,,,,,Category,,,,,
126,Subject,,,12012,40,5.842648615544442,,Feature,,,,,,,,,,,Category,,,,,
127,Subject,,,12002,50,3.4808365970343473,,Feature,,,,,,,,,,,Category,,,,,
128,Subject,,,11992,60,2.1848133935830707,,Feature,,,,,,,,,,,Category,,,,,
129,Subject,,,11982,70,1.8146379449587384,,Feature,,,,,,,,,,,Category,,,,,
130,Subject,,,12051,1,0.4082665945172762,,,Feature,,,,,,,,,,Category,,,,,
131,Subject,,,12047,5,2.039109665958568,,,Feature,,,,,,,,,,Category,,,,,
132,Subject,,,12042,10,4.046708161747122,,,Feature,,,,,,,,,,Category,,,,,
133,Subject,,,12037,15,5.946972651352203,,,Feature,,,,,,,,,,Category,,,,,
134,Subject,,,12032,20,7.652640285024653,,,Feature,,,,,,,,,,Category,,,,,
