,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,jason,sir condy
96,Subject,,,5952,40,1.6583169085001126,Category,,,,,,,,,Feature,,,,,,
97,Subject,,,5942,50,1.7835329902920352,Category,,,,,,,,,Feature,,,,,,
98,Subject,,,5932,60,1.8641852852698608,Category,,,,,,,,,Feature,,,,,,
99,Subject,,,5922,70,1.888501821229874,Category,,,,,,,,,Feature,,,,,,
100,Subject,,,5991,1,0.08637430824968755,Category,,,,,,,,,,Feature,,,,,
101,Subject,,,5987,5,0.42020128532105033,Category,,,,,,,,,,Feature,,,,,
102,Subject,,,5982,10,0.8179373483311086,Category,,,,,,,,,,Feature,,,,,
103,Subject,,,5977,15,1.1947852814543256,Category,,,,,,,,,,Feature,,,,,
104,Subject,,,5972,20,1.5529094679968511,Category,,,,,,,,,,Feature,,,,,
105,Subject,,,5962,30,2.2076763449042387,Category,,,,,,,,,,Feature,,,,,
106,Subject,,,5952,40,2.3418122244327346,Category,,,,,,,,,,Feature,,,,,
107,Subject,,,5942,50,2.358258486994665,Category,,,,,,,,,,Feature,,,,,
108,Subject,,,5932,60,2.3318063556431032,Category,,,,,,,,,,Feature,,,,,
109,Subject,,,5922,70,2.3094264222697785,Category,,,,,,,,,,Feature,,,,,
110,Subject,,,5991,1,0.3324207828793005,Category,,,,,,,,,,,Feature,,,,
111,Subject,,,5987,5,1.5003371043568747,Category,,,,,,,,,,,Feature,,,,
112,Subject,,,5982,10,2.781000668013101,Category,,,,,,,,,,,Feature,,,,
113,Subject,,,5977,15,3.740960988994259,Category,,,,,,,,,,,Feature,,,,
114,Subject,,,5972,20,4.423057220671261,Category,,,,,,,,,,,Feature,,,,
115,Subject,,,5962,30,5.352450029680493,Category,,,,,,,,,,,Feature,,,,
116,Subject,,,5952,40,3.4855543058979257,Category,,,,,,,,,,,Feature,,,,
117,Subject,,,5942,50,2.9842049722932527,Category,,,,,,,,,,,Feature,,,,
118,Subject,,,5932,60,2.7640196917259052,Category,,,,,,,,,,,Feature,,,,
119,Subject,,,5922,70,2.672817688298326,Category,,,,,,,,,,,Feature,,,,
120,Subject,,,5991,1,0.23949949813889762,,Feature,,,,,,,,,,,Category,,,
121,Subject,,,5987,5,1.1940183705707388,,Feature,,,,,,,,,,,Category,,,
122,Subject,,,5982,10,2.367045044997049,,Feature,,,,,,,,,,,Category,,,
123,Subject,,,5977,15,3.4994831115525478,,Feature,,,,,,,,,,,Category,,,
124,Subject,,,5972,20,4.5629029863579245,,Feature,,,,,,,,,,,Category,,,
125,Subject,,,5962,30,6.457413585698137,,Feature,,,,,,,,,,,Category,,,
126,Subject,,,5952,40,5.485710495290642,,Feature,,,,,,,,,,,Category,,,
127,Subject,,,5942,50,4.1773440417652585,,Feature,,,,,,,,,,,Category,,,
128,Subject,,,5932,60,3.1049578744090565,,Feature,,,,,,,,,,,Category,,,
129,Subject,,,5922,70,2.7383070830044995,,Feature,,,,,,,,,,,Category,,,
130,Subject,,,5991,1,0.3569081190081507,,,Feature,,,,,,,,,,Category,,,
131,Subject,,,5987,5,1.7841176981967193,,,Feature,,,,,,,,,,Category,,,
132,Subject,,,5982,10,3.53075973919232,,,Feature,,,,,,,,,,Category,,,
133,Subject,,,5977,15,5.194696852993966,,,Feature,,,,,,,,,,Category,,,
134,Subject,,,5972,20,6.704572528640665,,,Feature,,,,,,,,,,Category,,,
135,Subject,,,5962,30,9.08258727896787,,,Feature,,,,,,,,,,Category,,,
136,Subject,,,5952,40,5.641717970632187,,,Feature,,,,,,,,,,Category,,,
137,Subject,,,5942,50,3.1270033144308753,,,Feature,,,,,,,,,,Category,,,
138,Subject,,,5932,60,1.8254217030458533,,,Feature,,,,,,,,,,Category,,,
139,Subject,,,5922,70,1.478983474343166,,,Feature,,,,,,,,,,Category,,,
140,Subject,,,5991,1,0.7366340664028166,,,,Feature,,,,,,,,,Category,,,
141,Subject,,,5987,5,3.674179311215048,,,,Feature,,,,,,,,,Category,,,
142,Subject,,,5982,10,7.232567361001543,,,,Feature,,,,,,,,,Category,,,
143,Subject,,,5977,15,10.027449147163402,,,,Feature,,,,,,,,,Category,,,
