,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
110,Subject,,,12003,1,0.5430087014146463,Category,,,,,,,,,,,Feature,,,,,
111,Subject,,,11999,5,2.552091584204059,Category,,,,,,,,,,,Feature,,,,,
112,Subject,,,11994,10,4.896054871673421,Category,,,,,,,,,,,Feature,,,,,
113,Subject,,,11989,15,6.735825055397429,Category,,,,,,,,,,,Feature,,,,,
114,Subject,,,11984,20,7.8822569648796375,Category,,,,,,,,,,,Feature,,,,,
115,Subject,,,11974,30,9.04296135369687,Category,,,,,,,,,,,Feature,,,,,
116,Subject,,,11964,40,3.72235368093226,Category,,,,,,,,,,,Feature,,,,,
117,Subject,,,11954,50,2.4868333774924354,Category,,,,,,,,,,,Feature,,,,,
118,Subject,,,11944,60,2.062050428903605,Category,,,,,,,,,,,Feature,,,,,
119,Subject,,,11934,70,1.9483083923163316,Category,,,,,,,,,,,Feature,,,,,
120,Subject,,,12003,1,0.27237655558908097,,Feature,,,,,,,,,,,Category,,,,
121,Subject,,,11999,5,1.3587570407487695,,Feature,,,,,,,,,,,Category,,,,
122,Subject,,,11994,10,2.7013222354810673,,Feature,,,,,,,,,,,Category,,,,
123,Subject,,,11989,15,4.000689655965301,,Feature,,,,,,,,,,,Category,,,,
124,Subject,,,11984,20,5.227511365569649,,Feature,,,,,,,,,,,Category,,,,
125,Subject,,,11974,30,7.397470461549052,,Feature,,,,,,,,,,,Category,,,,
126,Subject,,,11964,40,5.738867395640503,,Feature,,,,,,,,,,,Category,,,,
127,Subject,,,11954,50,4.00671563869496,,Feature,,,,,,,,,,,Category,,,,
128,Subject,,,11944,60,2.907097429210423,,Feature,,,,,,,,,,,Category,,,,
129,Subject,,,11934,70,2.5550154887971654,,Feature,,,,,,,,,,,Category,,,,
130,Subject,,,33610,1,0.44093299075750214,,,Feature,,,,,,,,,,Category,,,,
131,Subject,,,33606,5,2.2023513799739374,,,Feature,,,,,,,,,,Category,,,,
132,Subject,,,33601,10,4.386070093255531,,,Feature,,,,,,,,,,Category,,,,
133,Subject,,,33596,15,6.490454141025108,,,Feature,,,,,,,,,,Category,,,,
134,Subject,,,33591,20,8.415538530291455,,,Feature,,,,,,,,,,Category,,,,
135,Subject,,,33581,30,11.460275490742236,,,Feature,,,,,,,,,,Category,,,,
136,Subject,,,33571,40,5.853576158878966,,,Feature,,,,,,,,,,Category,,,,
137,Subject,,,33561,50,2.6801187011001946,,,Feature,,,,,,,,,,Category,,,,
138,Subject,,,33551,60,1.2421599258586564,,,Feature,,,,,,,,,,Category,,,,
139,Subject,,,33541,70,0.9270883397167423,,,Feature,,,,,,,,,,Category,,,,
140,Subject,,,12003,1,0.7364154133360583,,,,Feature,,,,,,,,,Category,,,,
141,Subject,,,11999,5,3.6552355882774883,,,,Feature,,,,,,,,,Category,,,,
142,Subject,,,11994,10,7.231411060002098,,,,Feature,,,,,,,,,Category,,,,
143,Subject,,,11989,15,10.164863261949957,,,,Feature,,,,,,,,,Category,,,,
144,Subject,,,11984,20,11.91873177204992,,,,Feature,,,,,,,,,Category,,,,
145,Subject,,,11974,30,13.184733171452176,,,,Feature,,,,,,,,,Category,,,,
146,Subject,,,11964,40,2.658241057628862,,,,Feature,,,,,,,,,Category,,,,
147,Subject,,,11954,50,0.6588110601243775,,,,Feature,,,,,,,,,Category,,,,
148,Subject,,,11944,60,0.209714380313529,,,,Feature,,,,,,,,,Category,,,,
149,Subject,,,11934,70,0.15033821794881932,,,,Feature,,,,,,,,,Category,,,,
150,Subject,,,12003,1,0.1968551255465483,,,,,Feature,,,,,,,,Category,,,,
151,Subject,,,11999,5,0.9818687770402383,,,,,Feature,,,,,,,,Category,,,,
152,Subject,,,11994,10,1.9512210320136205,,,,,Feature,,,,,,,,Category,,,,
153,Subject,,,11989,15,2.8952705515083585,,,,,Feature,,,,,,,,Category,,,,
154,Subject,,,11984,20,3.8033064872728297,,,,,Feature,,,,,,,,Category,,,,
155,Subject,,,11974,30,5.481098505033086,,,,,Feature,,,,,,,,Category,,,,
156,Subject,,,11964,40,4.862867512010596,,,,,Feature,,,,,,,,Category,,,,
157,Subject,,,11954,50,3.9187651301067747,,,,,Feature,,,,,,,,Category,,,,
158,Subject,,,11944,60,3.223988618283565,,,,,Feature,,,,,,,,Category,,,,
159,Subject,,,11934,70,3.00427304158746,,,,,Feature,,,,,,,,Category,,,,
160,Subject,,,12003,1,0.8924093579660618,,,,,,Feature,,,,,,,Category,,,,
161,Subject,,,11999,5,4.399650667820485,,,,,,Feature,,,,,,,Category,,,,
