,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,squire
177,Subject,,,23378,50,4.044318164888604,,,,,,,Feature,,,,,,Category,,,
178,Subject,,,23368,60,2.83255217796431,,,,,,,Feature,,,,,,Category,,,
179,Subject,,,23358,70,2.458246180035884,,,,,,,Feature,,,,,,Category,,,
180,Subject,,,23427,1,0.320008879875185,,,,,,,,Feature,,,,,Category,,,
181,Subject,,,23423,5,1.5971046120353467,,,,,,,,Feature,,,,,Category,,,
182,Subject,,,23418,10,3.176684679750433,,,,,,,,Feature,,,,,Category,,,
183,Subject,,,23413,15,4.708363802057381,,,,,,,,Feature,,,,,Category,,,
184,Subject,,,23408,20,6.149935421867432,,,,,,,,Feature,,,,,Category,,,
185,Subject,,,23398,30,8.688511627707715,,,,,,,,Feature,,,,,Category,,,
186,Subject,,,23388,40,6.203261157210576,,,,,,,,Feature,,,,,Category,,,
187,Subject,,,23378,50,3.980674059199569,,,,,,,,Feature,,,,,Category,,,
188,Subject,,,23368,60,2.503858029860557,,,,,,,,Feature,,,,,Category,,,
189,Subject,,,23358,70,2.0607792266462965,,,,,,,,Feature,,,,,Category,,,
190,Subject,,,23427,1,0.26170629884943697,,,,,,,,,Feature,,,,Category,,,
191,Subject,,,23423,5,1.3066927065714335,,,,,,,,,Feature,,,,Category,,,
192,Subject,,,23418,10,2.6041318065148618,,,,,,,,,Feature,,,,Category,,,
193,Subject,,,23413,15,3.873707315479691,,,,,,,,,Feature,,,,Category,,,
194,Subject,,,23408,20,5.089951078214846,,,,,,,,,Feature,,,,Category,,,
195,Subject,,,23398,30,7.299147835344024,,,,,,,,,Feature,,,,Category,,,
196,Subject,,,23388,40,5.765993811724194,,,,,,,,,Feature,,,,Category,,,
197,Subject,,,23378,50,4.046019735016084,,,,,,,,,Feature,,,,Category,,,
198,Subject,,,23368,60,2.8068518765463106,,,,,,,,,Feature,,,,Category,,,
199,Subject,,,23358,70,2.4394412906297416,,,,,,,,,Feature,,,,Category,,,
200,Subject,,,23427,1,0.25255513345980807,,,,,,,,,,Feature,,,Category,,,
201,Subject,,,23423,5,1.2606505156676755,,,,,,,,,,Feature,,,Category,,,
202,Subject,,,23418,10,2.5106939418908376,,,,,,,,,,Feature,,,Category,,,
203,Subject,,,23413,15,3.726540088518292,,,,,,,,,,Feature,,,Category,,,
204,Subject,,,23408,20,4.900494366968935,,,,,,,,,,Feature,,,Category,,,
205,Subject,,,23398,30,7.050341281765774,,,,,,,,,,Feature,,,Category,,,
206,Subject,,,23388,40,5.742039750734057,,,,,,,,,,Feature,,,Category,,,
207,Subject,,,23378,50,4.216901226176911,,,,,,,,,,Feature,,,Category,,,
208,Subject,,,23368,60,3.0641287458436035,,,,,,,,,,Feature,,,Category,,,
209,Subject,,,23358,70,2.689399444264613,,,,,,,,,,Feature,,,Category,,,
210,Subject,,,23427,1,0.44447893951541073,,,,,,,,,,,Feature,,Category,,,
211,Subject,,,23423,5,2.2177576795412777,,,,,,,,,,,Feature,,Category,,,
212,Subject,,,23418,10,4.411934905106105,,,,,,,,,,,Feature,,Category,,,
213,Subject,,,23413,15,6.497490380833531,,,,,,,,,,,Feature,,Category,,,
214,Subject,,,23408,20,8.37353494532432,,,,,,,,,,,Feature,,Category,,,
215,Subject,,,23398,30,11.243155449873878,,,,,,,,,,,Feature,,Category,,,
216,Subject,,,23388,40,5.794695266292664,,,,,,,,,,,Feature,,Category,,,
217,Subject,,,23378,50,2.7050277887886676,,,,,,,,,,,Feature,,Category,,,
218,Subject,,,23368,60,1.2577994175502039,,,,,,,,,,,Feature,,Category,,,
219,Subject,,,23358,70,0.919163406237565,,,,,,,,,,,Feature,,Category,,,
220,Subject,,,23427,1,0.9292340785235995,,,,,,,,,,,,Feature,Category,,,
221,Subject,,,23423,5,4.556419067934579,,,,,,,,,,,,Feature,Category,,,
222,Subject,,,23418,10,9.01396006925654,,,,,,,,,,,,Feature,Category,,,
223,Subject,,,23413,15,12.583670992220846,,,,,,,,,,,,Feature,Category,,,
224,Subject,,,23408,20,13.880369140440418,,,,,,,,,,,,Feature,Category,,,
225,Subject,,,23398,30,14.419903602422671,,,,,,,,,,,,Feature,Category,,,
226,Subject,,,23388,40,1.4493136525844097,,,,,,,,,,,,Feature,Category,,,
227,Subject,,,23378,50,0.3238891697804864,,,,,,,,,,,,Feature,Category,,,
228,Subject,,,23368,60,0.09010242316981006,,,,,,,,,,,,Feature,Category,,,
229,Subject,,,23358,70,0.051220156432932075,,,,,,,,,,,,Feature,Category,,,
230,,Category,Feature,23427,1,0.25005122297749427,,,,,,,,,,,,,,Subject,,
231,,Category,Feature,23423,5,1.2465679756318317,,,,,,,,,,,,,,Subject,,
232,,Category,Feature,23418,10,2.479723946786234,,,,,,,,,,,,,,Subject,,
233,,Category,Feature,23413,15,3.6840038117855842,,,,,,,,,,,,,,Subject,,
234,,Category,Feature,23408,20,4.842615604085669,,,,,,,,,,,,,,Subject,,
235,,Category,Feature,23398,30,6.952213214399176,,,,,,,,,,,,,,Subject,,
236,,Category,Feature,23388,40,5.66491088915032,,,,,,,,,,,,,,Subject,,
237,,Category,Feature,23378,50,4.130305900373849,,,,,,,,,,,,,,Subject,,
238,,Category,Feature,23368,60,3.047267259760834,,,,,,,,,,,,,,Subject,,
239,,Category,Feature,23358,70,2.7143658375233852,,,,,,,,,,,,,,Subject,,
240,,,,23427,1,0.9292340785235995,Category,Feature,,,,,,,,,,,,Subject,,
241,,,,23423,5,4.556419067934579,Category,Feature,,,,,,,,,,,,Subject,,
242,,,,23418,10,9.01396006925654,Category,Feature,,,,,,,,,,,,Subject,,
243,,,,23413,15,12.583670992220846,Category,Feature,,,,,,,,,,,,Subject,,
244,,,,23408,20,13.880369140440418,Category,Feature,,,,,,,,,,,,Subject,,
245,,,,23398,30,14.419903602422671,Category,Feature,,,,,,,,,,,,Subject,,
246,,,,23388,40,1.4493136525844097,Category,Feature,,,,,,,,,,,,Subject,,
247,,,,23378,50,0.3238891697804864,Category,Feature,,,,,,,,,,,,Subject,,
248,,,,23368,60,0.09010242316981006,Category,Feature,,,,,,,,,,,,Subject,,
249,,,,23358,70,0.051220156432932075,Category,Feature,,,,,,,,,,,,Subject,,
250,,,,23427,1,0.012493738648553854,Category,,Feature,,,,,,,,,,,Subject,,
251,,,,23423,5,0.060448579925485954,Category,,Feature,,,,,,,,,,,Subject,,
252,,,,23418,10,0.11896401231767365,Category,,Feature,,,,,,,,,,,Subject,,
253,,,,23413,15,0.17742023271257362,Category,,Feature,,,,,,,,,,,Subject,,
254,,,,23408,20,0.23586616492415713,Category,,Feature,,,,,,,,,,,Subject,,
255,,,,23398,30,0.3527264285529803,Category,,Feature,,,,,,,,,,,Subject,,
256,,,,23388,40,0.4309430248319961,Category,,Feature,,,,,,,,,,,Subject,,
257,,,,23378,50,0.48319895130714346,Category,,Feature,,,,,,,,,,,Subject,,
258,,,,23368,60,0.5280387084870775,Category,,Feature,,,,,,,,,,,Subject,,
259,,,,23358,70,0.5429259164462399,Category,,Feature,,,,,,,,,,,Subject,,
260,,,,23427,1,0.1814222907046532,Category,,,Feature,,,,,,,,,,Subject,,
261,,,,23423,5,0.9036599810191847,Category,,,Feature,,,,,,,,,,Subject,,
262,,,,23418,10,1.7996804452175825,Category,,,Feature,,,,,,,,,,Subject,,
263,,,,23413,15,2.6833852523875894,Category,,,Feature,,,,,,,,,,Subject,,
264,,,,23408,20,3.5441826113450308,Category,,,Feature,,,,,,,,,,Subject,,
265,,,,23398,30,5.175045656403275,Category,,,Feature,,,,,,,,,,Subject,,
266,,,,23388,40,4.8216703004215615,Category,,,Feature,,,,,,,,,,Subject,,
267,,,,23378,50,4.0373665570317305,Category,,,Feature,,,,,,,,,,Subject,,
268,,,,23368,60,3.3284600534375524,Category,,,Feature,,,,,,,,,,Subject,,
269,,,,23358,70,3.076746766648008,Category,,,Feature,,,,,,,,,,Subject,,
270,,,,23427,1,0.0039295284967473506,Category,,,,Feature,,,,,,,,,Subject,,
271,,,,23423,5,0.019649340315585493,Category,,,,Feature,,,,,,,,,Subject,,
272,,,,23418,10,0.03930292252860412,Category,,,,Feature,,,,,,,,,Subject,,
273,,,,23413,15,0.05797822304689062,Category,,,,Feature,,,,,,,,,Subject,,
274,,,,23408,20,0.07600297793998041,Category,,,,Feature,,,,,,,,,Subject,,
275,,,,23398,30,0.11200410826207936,Category,,,,Feature,,,,,,,,,Subject,,
276,,,,23388,40,0.13784937232172392,Category,,,,Feature,,,,,,,,,Subject,,
277,,,,23378,50,0.15780988818212793,Category,,,,Feature,,,,,,,,,Subject,,
278,,,,23368,60,0.1763933442507276,Category,,,,Feature,,,,,,,,,Subject,,
279,,,,23358,70,0.18350671767631324,Category,,,,Feature,,,,,,,,,Subject,,
280,,,,23427,1,0.05368098139106153,Category,,,,,Feature,,,,,,,,Subject,,
281,,,,23423,5,0.24245602800913493,Category,,,,,Feature,,,,,,,,Subject,,
282,,,,23418,10,0.46309214823472,Category,,,,,Feature,,,,,,,,Subject,,
283,,,,23413,15,0.67296673145035,Category,,,,,Feature,,,,,,,,Subject,,
284,,,,23408,20,0.8777344015518718,Category,,,,,Feature,,,,,,,,Subject,,
285,,,,23398,30,1.2756917940928507,Category,,,,,Feature,,,,,,,,Subject,,
286,,,,23388,40,1.3958763098153577,Category,,,,,Feature,,,,,,,,Subject,,
287,,,,23378,50,1.445337971672124,Category,,,,,Feature,,,,,,,,Subject,,
288,,,,23368,60,1.4816529908234366,Category,,,,,Feature,,,,,,,,Subject,,
289,,,,23358,70,1.4955220005101537,Category,,,,,Feature,,,,,,,,Subject,,
290,,,,23427,1,0.00816704613713742,Category,,,,,,Feature,,,,,,,Subject,,
291,,,,23423,5,0.03971253623546759,Category,,,,,,Feature,,,,,,,Subject,,
292,,,,23418,10,0.0779926024475696,Category,,,,,,Feature,,,,,,,Subject,,
293,,,,23413,15,0.11359077534538942,Category,,,,,,Feature,,,,,,,Subject,,
294,,,,23408,20,0.14739858554449198,Category,,,,,,Feature,,,,,,,Subject,,
295,,,,23398,30,0.21499027074782545,Category,,,,,,Feature,,,,,,,Subject,,
296,,,,23388,40,0.25537848942584407,Category,,,,,,Feature,,,,,,,Subject,,
297,,,,23378,50,0.28542490591729164,Category,,,,,,Feature,,,,,,,Subject,,
298,,,,23368,60,0.31251305314135364,Category,,,,,,Feature,,,,,,,Subject,,
299,,,,23358,70,0.3226933072569454,Category,,,,,,Feature,,,,,,,Subject,,
300,,,,23427,1,0.011651046632962767,Category,,,,,,,Feature,,,,,,Subject,,
301,,,,23423,5,0.055933682208314815,Category,,,,,,,Feature,,,,,,Subject,,
302,,,,23418,10,0.1109980339013221,Category,,,,,,,Feature,,,,,,Subject,,
303,,,,23413,15,0.16605383779942767,Category,,,,,,,Feature,,,,,,Subject,,
304,,,,23408,20,0.22110093535471753,Category,,,,,,,Feature,,,,,,Subject,,
305,,,,23398,30,0.33116836921671533,Category,,,,,,,Feature,,,,,,Subject,,
306,,,,23388,40,0.4087427558774002,Category,,,,,,,Feature,,,,,,Subject,,
307,,,,23378,50,0.46076227699691324,Category,,,,,,,Feature,,,,,,Subject,,
308,,,,23368,60,0.5056005060487687,Category,,,,,,,Feature,,,,,,Subject,,
309,,,,23358,70,0.522272621340381,Category,,,,,,,Feature,,,,,,Subject,,
310,,,,23427,1,0.007716242204628309,Category,,,,,,,,Feature,,,,,Subject,,
311,,,,23423,5,0.0378866692624904,Category,,,,,,,,Feature,,,,,Subject,,
312,,,,23418,10,0.07408358085338054,Category,,,,,,,,Feature,,,,,Subject,,
