,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,delvile,doctor,dr lyster,gentleman,lady honoria,miss beverley,miss larolles,morrice,mr arnott,mr briggs,mr delvile,mr harrel,mr hobson,mr monckton,mrs belfield,mrs charlton,mrs delvile,mrs harrel,servant,sir robert,son
67,Subject,,,62433,50,1.03789867090151,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Subject,,,62423,60,1.068458534116482,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Subject,,,62413,70,1.0820539944961935,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Subject,,,62482,1,0.03583881063536999,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Subject,,,62478,5,0.17421969957458197,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Subject,,,62473,10,0.3411213795196993,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Subject,,,62468,15,0.5038684536437157,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Subject,,,62463,20,0.6628312874982926,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Subject,,,62453,30,0.9685673953450742,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Subject,,,62443,40,1.0683126348651164,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Subject,,,62433,50,1.1109469347228482,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Subject,,,62423,60,1.145139996343587,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Subject,,,62413,70,1.157604837339958,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Subject,,,62482,1,0.03545218917630478,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Subject,,,62478,5,0.1730278247347016,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Subject,,,62473,10,0.340234731399685,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Subject,,,62468,15,0.5036943362005787,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Subject,,,62463,20,0.6630828673504703,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Subject,,,62453,30,0.9708010396754853,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
