,NER_CARDINAL,NER_DATE,NER_GPE,NER_ORG,NER_PERSON,WN_entity,WN_female,WN_male,WN_person,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t,mention_categ
57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,spirits,NNS,the spirits of others,1730,NOUN,spirits,NNS,the spirits of others,1701,environment
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,spirits,NNS,the spirits of others,1743,PRON,theirs,PRP,theirs,1701,environment
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,spirits,NNS,the spirits of others,1759,PRON,they,PRP,They,1759,environment
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,spirits,NNS,the spirits of others,1766,DET,their,PRP$,their,1759,environment
61,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,NOUN,sister,NN,dear sister,1935,NOUN,sister,NN,dear sister,1933,person
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,sister,NN,dear sister,1958,PRON,you,PRP,you,1945,environment
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,sister,NN,dear sister,1992,PRON,you,PRP,you,1987,environment
64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,saville,NNP,"Mrs. Saville, England",2028,PROPN,saville,NNP,"Mrs. Saville, England",2027,person
65,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,saville,NNP,"Mrs. Saville, England",3898,PROPN,saville,NNP,"Mrs. Saville, England",3897,person
66,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,saville,NNP,"Mrs. Saville, England.
",2028,PROPN,saville,NNP,"Mrs. Saville, England.
",2027,person
67,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,saville,NNP,"Mrs. Saville, England.
",3540,PROPN,saville,NNP,"Mrs. Saville, England.
",3539,person
68,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,saville,NNP,"Mrs. Saville, England.
",3898,PROPN,saville,NNP,"Mrs. Saville, England.
",3897,person
69,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,NOUN,friend,NN,"no friend, Margaret",2140,NOUN,friend,NN,"no friend, Margaret",2138,person
70,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,NOUN,friend,NN,"no friend, Margaret",3772,PROPN,adieu,NNP,"Adieu, my dear Margaret",3772,person
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRON,me,PRP,me,2216,PRON,me,PRP,me,2205,person
72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PRON,me,PRP,me,2223,PRON,mine,PRP,mine,2205,person
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRON,me,PRP,me,2250,PRON,me,PRP,me,2245,person
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRON,me,PRP,me,2316,PRON,me,PRP,me,2308,person
75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PRON,it,PRP,it,2364,PRON,it,PRP,it,2348,environment
76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PRON,it,PRP,it,2368,PRON,it,PRP,it,2348,environment
77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PRON,it,PRP,it,2378,DET,its,PRP$,its,2348,environment
78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,country,NN,my native country,2401,NOUN,country,NN,my native country,2348,environment
79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,country,NN,my native country,3006,NOUN,country,NN,his country,2980,environment
