,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,abbot,ambrosio,brother,elvira,grave,lorenzo,marquis,monk,nuns,raymond,segnor,theodore
134,Subject,,,26010,20,11.944944749662204,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
135,Subject,,,26000,30,14.165969222033278,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
136,Subject,,,25990,40,3.1372328443604682,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
137,Subject,,,25980,50,0.5912809695557579,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
138,Subject,,,25970,60,0.11408517568750462,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
139,Subject,,,25960,70,0.06265380030254562,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,
140,Subject,,,26029,1,0.9929507629805534,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
141,Subject,,,26025,5,4.959315486931278,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
142,Subject,,,26020,10,9.886883705134387,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
143,Subject,,,26015,15,13.891588559385841,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
144,Subject,,,26010,20,14.634232476440175,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
145,Subject,,,26000,30,14.666147079724022,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
146,Subject,,,25990,40,0.030367185742200747,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
147,Subject,,,25980,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
148,Subject,,,25970,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
149,Subject,,,25960,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,
150,Subject,,,26029,1,0.39121177908800264,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
151,Subject,,,26025,5,1.947370042569898,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
152,Subject,,,26020,10,3.866455314866478,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
153,Subject,,,26015,15,5.694436423966117,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
154,Subject,,,26010,20,7.345694556557821,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
155,Subject,,,26000,30,9.986898351771345,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
156,Subject,,,25990,40,5.944768220323258,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
157,Subject,,,25980,50,3.3411634322057804,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
158,Subject,,,25970,60,1.8915031660264296,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
159,Subject,,,25960,70,1.5247177407787267,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,
160,Subject,,,26029,1,0.7818973951522894,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
161,Subject,,,26025,5,3.9077942290433167,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
162,Subject,,,26020,10,7.78506871749045,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
163,Subject,,,26015,15,11.240202050272668,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
164,Subject,,,26010,20,13.438491299051122,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
165,Subject,,,26000,30,14.590750668261933,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
166,Subject,,,25990,40,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
167,Subject,,,25980,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
168,Subject,,,25970,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
169,Subject,,,25960,70,0.0024817544916069336,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,
170,Subject,,,26029,1,0.6593780178291556,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
171,Subject,,,26025,5,3.288576512276914,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
172,Subject,,,26020,10,6.543232421802835,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
173,Subject,,,26015,15,9.506159525582333,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
174,Subject,,,26010,20,11.755720315881407,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
175,Subject,,,26000,30,13.933754988211692,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
176,Subject,,,25990,40,3.421108751168564,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
177,Subject,,,25980,50,0.8145494072035255,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
178,Subject,,,25970,60,0.24207898849532974,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
179,Subject,,,25960,70,0.1456545655449843,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,
180,Subject,,,26029,1,0.5629157458826742,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
181,Subject,,,26025,5,2.803321141382238,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
182,Subject,,,26020,10,5.5739533883372445,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
183,Subject,,,26015,15,8.132509821034766,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
184,Subject,,,26010,20,10.243362952860354,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
185,Subject,,,26000,30,12.92251426170873,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,
