,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,baronet,bellamy,camilla,doctor,dr. marchmont,dr. orkborne,edgar,friend,gentleman,jacob,major cerwood,mandlebert,mary,melmond,miss margland,mr. dubster,mr. tyrold,mrs. arlbery,mrs. berlinton,mrs. mittin,mrs. tyrold,my dear,sir hugh,sir sedley
47,Subject,,,64556,50,0.5461910050110373,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Subject,,,64546,60,0.5918782230330469,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Subject,,,64536,70,0.6078677571629694,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Subject,,,64605,1,0.1384666271006557,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Subject,,,64601,5,0.6116430604616405,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Subject,,,64596,10,1.1480913527125138,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Subject,,,64591,15,1.6263081561413666,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Subject,,,64586,20,2.041296792507782,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Subject,,,64576,30,2.742578061129267,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Subject,,,64566,40,2.316946819919672,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Subject,,,64556,50,2.168850022580502,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Subject,,,64546,60,2.1163711454490843,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Subject,,,64536,70,2.103005706482067,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Subject,,,64605,1,0.022301196961862862,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Subject,,,64601,5,0.10891705988977421,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Subject,,,64596,10,0.21458851620438243,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
