,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,father,ladies,lord orville,ma'am,mr. branghton,mr. macartney,mr. smith,mrs. beaumont,mrs. mirvan,mrs. selwyn,orville,servant,sir clement
165,Subject,,,30266,30,14.825238640181446,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
166,Subject,,,30256,40,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
167,Subject,,,30246,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
168,Subject,,,30236,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
169,Subject,,,30226,70,0.011342540208705662,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
170,Subject,,,30295,1,0.487399452954679,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
171,Subject,,,30291,5,2.4312452124811346,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
172,Subject,,,30286,10,4.837984532478833,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
173,Subject,,,30281,15,7.119310123323772,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
174,Subject,,,30276,20,9.10801185175159,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
175,Subject,,,30266,30,11.965231581635132,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
176,Subject,,,30256,40,5.469084536960508,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
177,Subject,,,30246,50,2.3844295145257672,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
178,Subject,,,30236,60,1.0820707559734442,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
179,Subject,,,30226,70,0.8062078658204537,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,
180,Subject,,,30295,1,0.5235068752983036,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
181,Subject,,,30291,5,2.614568503890227,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
182,Subject,,,30286,10,5.207099164672604,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
183,Subject,,,30281,15,7.679676049738743,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
184,Subject,,,30276,20,9.827293881518672,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
185,Subject,,,30266,30,12.75473613986051,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
186,Subject,,,30256,40,4.9426715358597395,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
187,Subject,,,30246,50,1.7175742578120254,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
188,Subject,,,30236,60,0.6011654512351,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
189,Subject,,,30226,70,0.4051284083448804,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,
190,Subject,,,30295,1,0.5028510923460341,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
191,Subject,,,30291,5,2.512395951895087,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
192,Subject,,,30286,10,5.005683533486336,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
193,Subject,,,30281,15,7.382233403026253,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
194,Subject,,,30276,20,9.475341333377532,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
195,Subject,,,30266,30,12.436182946834357,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
196,Subject,,,30256,40,5.1568629578916205,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
197,Subject,,,30246,50,1.9251394203741132,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
198,Subject,,,30236,60,0.7546041653344805,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
199,Subject,,,30226,70,0.5373727201540087,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,
200,Subject,,,30295,1,0.4312089979079088,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
201,Subject,,,30291,5,2.1545639094547,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
202,Subject,,,30286,10,4.297853278733046,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
203,Subject,,,30281,15,6.376097320738528,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
204,Subject,,,30276,20,8.303742394315085,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
205,Subject,,,30266,30,11.376441521160661,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
206,Subject,,,30256,40,5.872928986587575,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
207,Subject,,,30246,50,2.5427883042714656,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
208,Subject,,,30236,60,1.1138769453170416,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
209,Subject,,,30226,70,0.7948697646888723,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,
210,Subject,,,30295,1,0.650622452065587,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
211,Subject,,,30291,5,3.252374871638697,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
212,Subject,,,30286,10,6.484734403833573,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
213,Subject,,,30281,15,9.518497003664262,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
214,Subject,,,30276,20,11.934761501788882,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
215,Subject,,,30266,30,14.302628482558838,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
216,Subject,,,30256,40,3.1301856186867827,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
217,Subject,,,30246,50,0.559494733335368,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
218,Subject,,,30236,60,0.1382793448597693,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
219,Subject,,,30226,70,0.09104769691425141,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,
220,Subject,,,30295,1,0.5082771520096627,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
221,Subject,,,30291,5,2.5397062670387034,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
222,Subject,,,30286,10,5.060602403030664,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
223,Subject,,,30281,15,7.468211804645944,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
224,Subject,,,30276,20,9.607629532052108,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
225,Subject,,,30266,30,12.55430236332003,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
226,Subject,,,30256,40,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
227,Subject,,,30246,50,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
228,Subject,,,30236,60,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
229,Subject,,,30226,70,0.5693100942826312,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,,,
230,,Category,Feature,30295,1,0.3202353533000763,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
231,,Category,Feature,30291,5,1.5988430592520644,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
232,,Category,Feature,30286,10,3.1849821802652722,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
233,,Category,Feature,30281,15,4.732330917106182,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
234,,Category,Feature,30276,20,6.1976011262813815,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
235,,Category,Feature,30266,30,8.768268465815263,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
236,,Category,Feature,30256,40,6.135052264793067,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
237,,Category,Feature,30246,50,3.8615061718616155,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
238,,Category,Feature,30236,60,2.460054560920959,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
239,,Category,Feature,30226,70,2.0466941949781643,,,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
240,,,,30295,1,0.5082771520096627,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
241,,,,30291,5,2.5397062670387034,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
242,,,,30286,10,5.060602403030664,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
243,,,,30281,15,7.468211804645944,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
244,,,,30276,20,9.607629532052108,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
245,,,,30266,30,12.55430236332003,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
246,,,,30256,40,0.0,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
247,,,,30246,50,0.0,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,,,,,
