,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
90,Subject,,,21578,1,0.027220582567057828,Category,,,,,,,,,Feature,,,,,,,,,,,
91,Subject,,,21574,5,0.1345642586357133,Category,,,,,,,,,Feature,,,,,,,,,,,
92,Subject,,,21569,10,0.26599129235323915,Category,,,,,,,,,Feature,,,,,,,,,,,
93,Subject,,,21564,15,0.39392990500440217,Category,,,,,,,,,Feature,,,,,,,,,,,
94,Subject,,,21559,20,0.5169206773541696,Category,,,,,,,,,Feature,,,,,,,,,,,
95,Subject,,,21549,30,0.7562905569637791,Category,,,,,,,,,Feature,,,,,,,,,,,
96,Subject,,,21539,40,0.8482233225472137,Category,,,,,,,,,Feature,,,,,,,,,,,
97,Subject,,,21529,50,0.8878858395825228,Category,,,,,,,,,Feature,,,,,,,,,,,
98,Subject,,,21519,60,0.9173095392893517,Category,,,,,,,,,Feature,,,,,,,,,,,
99,Subject,,,21509,70,0.9312972973205934,Category,,,,,,,,,Feature,,,,,,,,,,,
100,Subject,,,21578,1,0.05241297514727347,Category,,,,,,,,,,Feature,,,,,,,,,,
101,Subject,,,21574,5,0.2574415610035687,Category,,,,,,,,,,Feature,,,,,,,,,,
102,Subject,,,21569,10,0.5029022117370968,Category,,,,,,,,,,Feature,,,,,,,,,,
103,Subject,,,21564,15,0.7393597956911391,Category,,,,,,,,,,Feature,,,,,,,,,,
104,Subject,,,21559,20,0.9662953523141762,Category,,,,,,,,,,Feature,,,,,,,,,,
105,Subject,,,21549,30,1.3929589023226012,Category,,,,,,,,,,Feature,,,,,,,,,,
106,Subject,,,21539,40,1.4182013837639218,Category,,,,,,,,,,Feature,,,,,,,,,,
107,Subject,,,21529,50,1.3731862414009708,Category,,,,,,,,,,Feature,,,,,,,,,,
108,Subject,,,21519,60,1.3469325367690774,Category,,,,,,,,,,Feature,,,,,,,,,,
109,Subject,,,21509,70,1.3472419473456507,Category,,,,,,,,,,Feature,,,,,,,,,,
110,Subject,,,21578,1,0.2252202037914691,Category,,,,,,,,,,,Feature,,,,,,,,,
111,Subject,,,21574,5,1.0111338428027523,Category,,,,,,,,,,,Feature,,,,,,,,,
112,Subject,,,21569,10,1.8631176545964259,Category,,,,,,,,,,,Feature,,,,,,,,,
113,Subject,,,21564,15,2.5498712168406854,Category,,,,,,,,,,,Feature,,,,,,,,,
114,Subject,,,21559,20,3.0686377773861193,Category,,,,,,,,,,,Feature,,,,,,,,,
115,Subject,,,21549,30,3.849669977888134,Category,,,,,,,,,,,Feature,,,,,,,,,
116,Subject,,,21539,40,2.6974654761251546,Category,,,,,,,,,,,Feature,,,,,,,,,
117,Subject,,,21529,50,2.452318849988953,Category,,,,,,,,,,,Feature,,,,,,,,,
118,Subject,,,21519,60,2.377991006679384,Category,,,,,,,,,,,Feature,,,,,,,,,
119,Subject,,,21509,70,2.36592801639224,Category,,,,,,,,,,,Feature,,,,,,,,,
120,Subject,,,21578,1,0.37255387178474153,,Feature,,,,,,,,,,,Category,,,,,,,,
121,Subject,,,21574,5,1.8571501928952248,,Feature,,,,,,,,,,,Category,,,,,,,,
122,Subject,,,21569,10,3.693469405789378,,Feature,,,,,,,,,,,Category,,,,,,,,
123,Subject,,,21564,15,5.45865476460773,,Feature,,,,,,,,,,,Category,,,,,,,,
124,Subject,,,21559,20,7.081169503208351,,Feature,,,,,,,,,,,Category,,,,,,,,
125,Subject,,,21549,30,9.753521210126046,,Feature,,,,,,,,,,,Category,,,,,,,,
126,Subject,,,21539,40,6.039568097773146,,Feature,,,,,,,,,,,Category,,,,,,,,
127,Subject,,,21529,50,3.5028332855396784,,Feature,,,,,,,,,,,Category,,,,,,,,
128,Subject,,,21519,60,2.077293181378598,,Feature,,,,,,,,,,,Category,,,,,,,,
129,Subject,,,21509,70,1.685314132872499,,Feature,,,,,,,,,,,Category,,,,,,,,
130,Subject,,,21578,1,0.649232708804356,,,Feature,,,,,,,,,,Category,,,,,,,,
131,Subject,,,21574,5,3.2455842714852325,,,Feature,,,,,,,,,,Category,,,,,,,,
132,Subject,,,21569,10,6.461837665935975,,,Feature,,,,,,,,,,Category,,,,,,,,
133,Subject,,,21564,15,9.422377792804557,,,Feature,,,,,,,,,,Category,,,,,,,,
134,Subject,,,21559,20,11.68014060767428,,,Feature,,,,,,,,,,Category,,,,,,,,
135,Subject,,,21549,30,13.833915066563586,,,Feature,,,,,,,,,,Category,,,,,,,,
136,Subject,,,21539,40,3.152453831763466,,,Feature,,,,,,,,,,Category,,,,,,,,
137,Subject,,,21529,50,0.6325232880098796,,,Feature,,,,,,,,,,Category,,,,,,,,
138,Subject,,,21519,60,0.1471192277064991,,,Feature,,,,,,,,,,Category,,,,,,,,
