,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,his nancy,julia,major sanford,mr. boyer,my free
117,Subject,,,9631,50,2.3341498090110804,Category,,,,,,,,,,,Feature,,,,,,,
118,Subject,,,9621,60,2.1078399100622414,Category,,,,,,,,,,,Feature,,,,,,,
119,Subject,,,9611,70,2.0308834791627657,Category,,,,,,,,,,,Feature,,,,,,,
120,Subject,,,14901,1,0.018502587374428635,,Feature,,,,,,,,,,,Category,,,,,,
121,Subject,,,14897,5,0.0902716639353457,,Feature,,,,,,,,,,,Category,,,,,,
122,Subject,,,14892,10,0.17458661056725,,Feature,,,,,,,,,,,Category,,,,,,
123,Subject,,,14887,15,0.25483625260970105,,Feature,,,,,,,,,,,Category,,,,,,
124,Subject,,,14882,20,0.33224613849933254,,Feature,,,,,,,,,,,Category,,,,,,
125,Subject,,,14872,30,0.48315941147737496,,Feature,,,,,,,,,,,Category,,,,,,
126,Subject,,,14862,40,0.5472473047988015,,Feature,,,,,,,,,,,Category,,,,,,
127,Subject,,,14852,50,0.5836652902513023,,Feature,,,,,,,,,,,Category,,,,,,
128,Subject,,,14842,60,0.6167163754402037,,Feature,,,,,,,,,,,Category,,,,,,
129,Subject,,,14832,70,0.6276084957493582,,Feature,,,,,,,,,,,Category,,,,,,
130,Subject,,,9680,1,0.39618120363514664,,,Feature,,,,,,,,,,Category,,,,,,
131,Subject,,,9676,5,1.9771631294883687,,,Feature,,,,,,,,,,Category,,,,,,
132,Subject,,,9671,10,3.9296347816280726,,,Feature,,,,,,,,,,Category,,,,,,
133,Subject,,,9666,15,5.77616454398088,,,Feature,,,,,,,,,,Category,,,,,,
134,Subject,,,9661,20,7.443533132238101,,,Feature,,,,,,,,,,Category,,,,,,
135,Subject,,,9651,30,9.965406253205426,,,Feature,,,,,,,,,,Category,,,,,,
136,Subject,,,9641,40,5.653537414949731,,,Feature,,,,,,,,,,Category,,,,,,
137,Subject,,,9631,50,3.0099367449771584,,,Feature,,,,,,,,,,Category,,,,,,
138,Subject,,,9621,60,1.5945629197503879,,,Feature,,,,,,,,,,Category,,,,,,
139,Subject,,,9611,70,1.2494130868301812,,,Feature,,,,,,,,,,Category,,,,,,
140,Subject,,,9680,1,0.7708481864602734,,,,Feature,,,,,,,,,Category,,,,,,
141,Subject,,,9676,5,3.830722996596275,,,,Feature,,,,,,,,,Category,,,,,,
142,Subject,,,9671,10,7.565572735097196,,,,Feature,,,,,,,,,Category,,,,,,
143,Subject,,,9666,15,10.504677777326927,,,,Feature,,,,,,,,,Category,,,,,,
144,Subject,,,9661,20,12.054965906663375,,,,Feature,,,,,,,,,Category,,,,,,
145,Subject,,,9651,30,13.011880083106066,,,,Feature,,,,,,,,,Category,,,,,,
146,Subject,,,9641,40,2.2916453142024564,,,,Feature,,,,,,,,,Category,,,,,,
147,Subject,,,9631,50,0.5385455031486232,,,,Feature,,,,,,,,,Category,,,,,,
148,Subject,,,9621,60,0.17280973255233767,,,,Feature,,,,,,,,,Category,,,,,,
149,Subject,,,9611,70,0.12778235551892606,,,,Feature,,,,,,,,,Category,,,,,,
150,Subject,,,9680,1,0.1642723968804739,,,,,Feature,,,,,,,,Category,,,,,,
151,Subject,,,9676,5,0.8199302517296598,,,,,Feature,,,,,,,,Category,,,,,,
152,Subject,,,9671,10,1.6332871078201006,,,,,Feature,,,,,,,,Category,,,,,,
153,Subject,,,9666,15,2.436985718712754,,,,,Feature,,,,,,,,Category,,,,,,
154,Subject,,,9661,20,3.219469139122966,,,,,Feature,,,,,,,,Category,,,,,,
155,Subject,,,9651,30,4.663582369510995,,,,,Feature,,,,,,,,Category,,,,,,
156,Subject,,,9641,40,4.429715119037659,,,,,Feature,,,,,,,,Category,,,,,,
157,Subject,,,9631,50,3.799532953303838,,,,,Feature,,,,,,,,Category,,,,,,
158,Subject,,,9621,60,3.2330704212651895,,,,,Feature,,,,,,,,Category,,,,,,
159,Subject,,,9611,70,3.0292067445273525,,,,,Feature,,,,,,,,Category,,,,,,
160,Subject,,,9680,1,0.9225067472641205,,,,,,Feature,,,,,,,Category,,,,,,
161,Subject,,,9676,5,4.561588250894299,,,,,,Feature,,,,,,,Category,,,,,,
162,Subject,,,9671,10,9.000692176295374,,,,,,Feature,,,,,,,Category,,,,,,
163,Subject,,,9666,15,12.029570161015046,,,,,,Feature,,,,,,,Category,,,,,,
164,Subject,,,9661,20,12.922868197878072,,,,,,Feature,,,,,,,Category,,,,,,
165,Subject,,,9651,30,13.202480398847914,,,,,,Feature,,,,,,,Category,,,,,,
166,Subject,,,9641,40,1.1002568679457896,,,,,,Feature,,,,,,,Category,,,,,,
167,Subject,,,9631,50,0.13968473881531165,,,,,,Feature,,,,,,,Category,,,,,,
168,Subject,,,9621,60,0.06009248317102547,,,,,,Feature,,,,,,,Category,,,,,,
169,Subject,,,9611,70,0.05595882812387177,,,,,,Feature,,,,,,,Category,,,,,,
170,Subject,,,9680,1,0.2599183501298955,,,,,,,Feature,,,,,,Category,,,,,,
171,Subject,,,9676,5,1.2949759253029307,,,,,,,Feature,,,,,,Category,,,,,,
172,Subject,,,9671,10,2.56657429867117,,,,,,,Feature,,,,,,Category,,,,,,
173,Subject,,,9666,15,3.7854287040514616,,,,,,,Feature,,,,,,Category,,,,,,
174,Subject,,,9661,20,4.926753271485692,,,,,,,Feature,,,,,,Category,,,,,,
175,Subject,,,9651,30,6.925874056007132,,,,,,,Feature,,,,,,Category,,,,,,
176,Subject,,,9641,40,5.492860494766758,,,,,,,Feature,,,,,,Category,,,,,,
177,Subject,,,9631,50,4.0171146224555345,,,,,,,Feature,,,,,,Category,,,,,,
178,Subject,,,9621,60,2.9398856889891447,,,,,,,Feature,,,,,,Category,,,,,,
179,Subject,,,9611,70,2.6284587154516945,,,,,,,Feature,,,,,,Category,,,,,,
180,Subject,,,9680,1,0.3699202967630301,,,,,,,,Feature,,,,,Category,,,,,,
181,Subject,,,9676,5,1.8421239706917492,,,,,,,,Feature,,,,,Category,,,,,,
182,Subject,,,9671,10,3.6525979282805117,,,,,,,,Feature,,,,,Category,,,,,,
183,Subject,,,9666,15,5.368395751356749,,,,,,,,Feature,,,,,Category,,,,,,
184,Subject,,,9661,20,6.9086023765618965,,,,,,,,Feature,,,,,Category,,,,,,
185,Subject,,,9651,30,9.32214037313266,,,,,,,,Feature,,,,,Category,,,,,,
186,Subject,,,9641,40,5.9802370808347405,,,,,,,,Feature,,,,,Category,,,,,,
187,Subject,,,9631,50,3.489199845072391,,,,,,,,Feature,,,,,Category,,,,,,
188,Subject,,,9621,60,1.9866554758576833,,,,,,,,Feature,,,,,Category,,,,,,
189,Subject,,,9611,70,1.5489911463332537,,,,,,,,Feature,,,,,Category,,,,,,
190,Subject,,,9680,1,0.28946090014769654,,,,,,,,,Feature,,,,Category,,,,,,
191,Subject,,,9676,5,1.443808842162223,,,,,,,,,Feature,,,,Category,,,,,,
192,Subject,,,9671,10,2.867147683464528,,,,,,,,,Feature,,,,Category,,,,,,
193,Subject,,,9666,15,4.239186767989307,,,,,,,,,Feature,,,,Category,,,,,,
194,Subject,,,9661,20,5.517797530456384,,,,,,,,,Feature,,,,Category,,,,,,
195,Subject,,,9651,30,7.663851641153638,,,,,,,,,Feature,,,,Category,,,,,,
196,Subject,,,9641,40,5.775852832643496,,,,,,,,,Feature,,,,Category,,,,,,
197,Subject,,,9631,50,4.082891468237617,,,,,,,,,Feature,,,,Category,,,,,,
198,Subject,,,9621,60,2.8740767086807777,,,,,,,,,Feature,,,,Category,,,,,,
199,Subject,,,9611,70,2.4810962465515916,,,,,,,,,Feature,,,,Category,,,,,,
200,Subject,,,9680,1,0.25112708506851344,,,,,,,,,,Feature,,,Category,,,,,,
201,Subject,,,9676,5,1.2535164677342694,,,,,,,,,,Feature,,,Category,,,,,,
202,Subject,,,9671,10,2.4930497330107753,,,,,,,,,,Feature,,,Category,,,,,,
203,Subject,,,9666,15,3.6994279317746086,,,,,,,,,,Feature,,,Category,,,,,,
204,Subject,,,9661,20,4.856387778832264,,,,,,,,,,Feature,,,Category,,,,,,
205,Subject,,,9651,30,6.968497686599301,,,,,,,,,,Feature,,,Category,,,,,,
206,Subject,,,9641,40,5.782387388475472,,,,,,,,,,Feature,,,Category,,,,,,
207,Subject,,,9631,50,4.225186258834535,,,,,,,,,,Feature,,,Category,,,,,,
208,Subject,,,9621,60,3.007417016890362,,,,,,,,,,Feature,,,Category,,,,,,
209,Subject,,,9611,70,2.622989722981451,,,,,,,,,,Feature,,,Category,,,,,,
210,Subject,,,9680,1,0.4719359284519872,,,,,,,,,,,Feature,,Category,,,,,,
211,Subject,,,9676,5,2.355382440265928,,,,,,,,,,,Feature,,Category,,,,,,
212,Subject,,,9671,10,4.6697477420378775,,,,,,,,,,,Feature,,Category,,,,,,
213,Subject,,,9666,15,6.813250947690212,,,,,,,,,,,Feature,,Category,,,,,,
214,Subject,,,9661,20,8.631069003471834,,,,,,,,,,,Feature,,Category,,,,,,
215,Subject,,,9651,30,11.104393802474245,,,,,,,,,,,Feature,,Category,,,,,,
216,Subject,,,9641,40,5.238440855063537,,,,,,,,,,,Feature,,Category,,,,,,
217,Subject,,,9631,50,2.2475648515887627,,,,,,,,,,,Feature,,Category,,,,,,
218,Subject,,,9621,60,0.9477658565522078,,,,,,,,,,,Feature,,Category,,,,,,
219,Subject,,,9611,70,0.6903264893800092,,,,,,,,,,,Feature,,Category,,,,,,
220,Subject,,,9680,1,0.9557187740891546,,,,,,,,,,,,Feature,Category,,,,,,
221,Subject,,,9676,5,4.705935200283805,,,,,,,,,,,,Feature,Category,,,,,,
222,Subject,,,9671,10,9.27041084669021,,,,,,,,,,,,Feature,Category,,,,,,
223,Subject,,,9666,15,12.265638801868485,,,,,,,,,,,,Feature,Category,,,,,,
224,Subject,,,9661,20,13.023909145101124,,,,,,,,,,,,Feature,Category,,,,,,
225,Subject,,,9651,30,13.208857859735039,,,,,,,,,,,,Feature,Category,,,,,,
226,Subject,,,9641,40,0.887104870351147,,,,,,,,,,,,Feature,Category,,,,,,
227,Subject,,,9631,50,0.11837079857311868,,,,,,,,,,,,Feature,Category,,,,,,
228,Subject,,,9621,60,0.06009248317102547,,,,,,,,,,,,Feature,Category,,,,,,
229,Subject,,,9611,70,0.05595882812387177,,,,,,,,,,,,Feature,Category,,,,,,
230,,Category,Feature,9680,1,0.1642723968804739,,,,,,,,,,,,,,Subject,,,,,
231,,Category,Feature,9676,5,0.8199302517296598,,,,,,,,,,,,,,Subject,,,,,
232,,Category,Feature,9671,10,1.6332871078201006,,,,,,,,,,,,,,Subject,,,,,
233,,Category,Feature,9666,15,2.436985718712754,,,,,,,,,,,,,,Subject,,,,,
234,,Category,Feature,9661,20,3.219469139122966,,,,,,,,,,,,,,Subject,,,,,
235,,Category,Feature,9651,30,4.663582369510995,,,,,,,,,,,,,,Subject,,,,,
236,,Category,Feature,9641,40,4.429715119037659,,,,,,,,,,,,,,Subject,,,,,
237,,Category,Feature,9631,50,3.799532953303838,,,,,,,,,,,,,,Subject,,,,,
238,,Category,Feature,9621,60,3.2330704212651895,,,,,,,,,,,,,,Subject,,,,,
239,,Category,Feature,9611,70,3.0292067445273525,,,,,,,,,,,,,,Subject,,,,,
240,,,,9680,1,0.9557187740891546,Category,Feature,,,,,,,,,,,,Subject,,,,,
241,,,,9676,5,4.705935200283805,Category,Feature,,,,,,,,,,,,Subject,,,,,
242,,,,9671,10,9.27041084669021,Category,Feature,,,,,,,,,,,,Subject,,,,,
243,,,,9666,15,12.265638801868485,Category,Feature,,,,,,,,,,,,Subject,,,,,
244,,,,9661,20,13.023909145101124,Category,Feature,,,,,,,,,,,,Subject,,,,,
245,,,,9651,30,13.208857859735039,Category,Feature,,,,,,,,,,,,Subject,,,,,
246,,,,9641,40,0.887104870351147,Category,Feature,,,,,,,,,,,,Subject,,,,,
247,,,,9631,50,0.11837079857311868,Category,Feature,,,,,,,,,,,,Subject,,,,,
248,,,,9621,60,0.06009248317102547,Category,Feature,,,,,,,,,,,,Subject,,,,,
249,,,,9611,70,0.05595882812387177,Category,Feature,,,,,,,,,,,,Subject,,,,,
250,,,,9680,1,0.038671790863764946,Category,,Feature,,,,,,,,,,,Subject,,,,,
251,,,,9676,5,0.18552888155728225,Category,,Feature,,,,,,,,,,,Subject,,,,,
252,,,,9671,10,0.3598495783782142,Category,,Feature,,,,,,,,,,,Subject,,,,,
253,,,,9666,15,0.5281175134259695,Category,,Feature,,,,,,,,,,,Subject,,,,,
254,,,,9661,20,0.6898980084409887,Category,,Feature,,,,,,,,,,,Subject,,,,,
255,,,,9651,30,0.99539653671954,Category,,Feature,,,,,,,,,,,Subject,,,,,
256,,,,9641,40,1.084299325792634,Category,,Feature,,,,,,,,,,,Subject,,,,,
257,,,,9631,50,1.1015101530156937,Category,,Feature,,,,,,,,,,,Subject,,,,,
258,,,,9621,60,1.1081481419875707,Category,,Feature,,,,,,,,,,,Subject,,,,,
259,,,,9611,70,1.1068720481909944,Category,,Feature,,,,,,,,,,,Subject,,,,,
260,,,,9680,1,0.3699202967630301,Category,,,Feature,,,,,,,,,,Subject,,,,,
261,,,,9676,5,1.8421239706917492,Category,,,Feature,,,,,,,,,,Subject,,,,,
262,,,,9671,10,3.6525979282805117,Category,,,Feature,,,,,,,,,,Subject,,,,,
263,,,,9666,15,5.368395751356749,Category,,,Feature,,,,,,,,,,Subject,,,,,
264,,,,9661,20,6.9086023765618965,Category,,,Feature,,,,,,,,,,Subject,,,,,
265,,,,9651,30,9.32214037313266,Category,,,Feature,,,,,,,,,,Subject,,,,,
266,,,,9641,40,5.9802370808347405,Category,,,Feature,,,,,,,,,,Subject,,,,,
267,,,,9631,50,3.489199845072391,Category,,,Feature,,,,,,,,,,Subject,,,,,
268,,,,9621,60,1.9866554758576833,Category,,,Feature,,,,,,,,,,Subject,,,,,
269,,,,9611,70,1.5489911463332537,Category,,,Feature,,,,,,,,,,Subject,,,,,
270,,,,9680,1,0.015728432589932416,Category,,,,Feature,,,,,,,,,Subject,,,,,
271,,,,9676,5,0.07819794305995474,Category,,,,Feature,,,,,,,,,Subject,,,,,
272,,,,9671,10,0.15460417483987587,Category,,,,Feature,,,,,,,,,Subject,,,,,
273,,,,9666,15,0.23097867543625047,Category,,,,Feature,,,,,,,,,Subject,,,,,
274,,,,9661,20,0.30504127007691084,Category,,,,Feature,,,,,,,,,Subject,,,,,
275,,,,9651,30,0.4414438532147893,Category,,,,Feature,,,,,,,,,Subject,,,,,
276,,,,9641,40,0.5084274001494129,Category,,,,Feature,,,,,,,,,Subject,,,,,
277,,,,9631,50,0.540430019963541,Category,,,,Feature,,,,,,,,,Subject,,,,,
278,,,,9621,60,0.577443041978624,Category,,,,Feature,,,,,,,,,Subject,,,,,
279,,,,9611,70,0.5926382867171444,Category,,,,Feature,,,,,,,,,Subject,,,,,
280,,,,9680,1,0.13992979247523912,Category,,,,,Feature,,,,,,,,Subject,,,,,
281,,,,9676,5,0.6022879386838051,Category,,,,,Feature,,,,,,,,Subject,,,,,
282,,,,9671,10,1.088321000015549,Category,,,,,Feature,,,,,,,,Subject,,,,,
283,,,,9666,15,1.4737236216883265,Category,,,,,Feature,,,,,,,,Subject,,,,,
284,,,,9661,20,1.8037521365242293,Category,,,,,Feature,,,,,,,,Subject,,,,,
285,,,,9651,30,2.347005680507273,Category,,,,,Feature,,,,,,,,Subject,,,,,
286,,,,9641,40,2.037971298616395,Category,,,,,Feature,,,,,,,,Subject,,,,,
287,,,,9631,50,1.960294865078014,Category,,,,,Feature,,,,,,,,Subject,,,,,
288,,,,9621,60,1.935461565814166,Category,,,,,Feature,,,,,,,,Subject,,,,,
289,,,,9611,70,1.9258683833684074,Category,,,,,Feature,,,,,,,,Subject,,,,,
290,,,,9680,1,0.19779970219180137,Category,,,,,,Feature,,,,,,,Subject,,,,,
291,,,,9676,5,0.983816137956026,Category,,,,,,Feature,,,,,,,Subject,,,,,
292,,,,9671,10,1.940772698087773,Category,,,,,,Feature,,,,,,,Subject,,,,,
293,,,,9666,15,2.8500622411762353,Category,,,,,,Feature,,,,,,,Subject,,,,,
294,,,,9661,20,3.7004122791682357,Category,,,,,,Feature,,,,,,,Subject,,,,,
295,,,,9651,30,5.128835757323373,Category,,,,,,Feature,,,,,,,Subject,,,,,
296,,,,9641,40,4.067453043193706,Category,,,,,,Feature,,,,,,,Subject,,,,,
297,,,,9631,50,3.091080437364165,Category,,,,,,Feature,,,,,,,Subject,,,,,
298,,,,9621,60,2.4557461198505144,Category,,,,,,Feature,,,,,,,Subject,,,,,
299,,,,9611,70,2.28439572618988,Category,,,,,,Feature,,,,,,,Subject,,,,,
300,,,,9680,1,0.039487382728123493,Category,,,,,,,Feature,,,,,,Subject,,,,,
301,,,,9676,5,0.18781551281422684,Category,,,,,,,Feature,,,,,,Subject,,,,,
