,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER
43,Subject,,,6589,15,0.6540818855658665,Category,,,,Feature,,,,,,,,,
44,Subject,,,6584,20,0.8633029938892222,Category,,,,Feature,,,,,,,,,
45,Subject,,,6574,30,1.269072707675788,Category,,,,Feature,,,,,,,,,
46,Subject,,,6564,40,1.4115652876289717,Category,,,,Feature,,,,,,,,,
47,Subject,,,6554,50,1.4295282917507537,Category,,,,Feature,,,,,,,,,
48,Subject,,,6544,60,1.4240516274667827,Category,,,,Feature,,,,,,,,,
49,Subject,,,6534,70,1.420106896196987,Category,,,,Feature,,,,,,,,,
50,Subject,,,6603,1,0.36580495442407146,Category,,,,,Feature,,,,,,,,
51,Subject,,,6599,5,1.7271272475229196,Category,,,,,Feature,,,,,,,,
52,Subject,,,6594,10,3.240911716147297,Category,,,,,Feature,,,,,,,,
53,Subject,,,6589,15,4.389716290852367,Category,,,,,Feature,,,,,,,,
54,Subject,,,6584,20,5.176893749442418,Category,,,,,Feature,,,,,,,,
55,Subject,,,6574,30,6.171624101557098,Category,,,,,Feature,,,,,,,,
56,Subject,,,6564,40,3.4193909287145168,Category,,,,,Feature,,,,,,,,
57,Subject,,,6554,50,2.6383066619011584,Category,,,,,Feature,,,,,,,,
58,Subject,,,6544,60,2.3452401353912307,Category,,,,,Feature,,,,,,,,
59,Subject,,,6534,70,2.271877483445085,Category,,,,,Feature,,,,,,,,
60,Subject,,,6603,1,0.07773546044743941,Category,,,,,,Feature,,,,,,,
61,Subject,,,6599,5,0.38777288678057226,Category,,,,,,Feature,,,,,,,
62,Subject,,,6594,10,0.7679273631455438,Category,,,,,,Feature,,,,,,,
63,Subject,,,6589,15,1.1312977242040019,Category,,,,,,Feature,,,,,,,
64,Subject,,,6584,20,1.4817516413134142,Category,,,,,,Feature,,,,,,,
65,Subject,,,6574,30,2.1238629500842654,Category,,,,,,Feature,,,,,,,
66,Subject,,,6564,40,2.1046061585114897,Category,,,,,,Feature,,,,,,,
67,Subject,,,6554,50,1.951846612074426,Category,,,,,,Feature,,,,,,,
68,Subject,,,6544,60,1.8342405164307694,Category,,,,,,Feature,,,,,,,
69,Subject,,,6534,70,1.7919361397475078,Category,,,,,,Feature,,,,,,,
70,Subject,,,6603,1,0.09643107516043636,Category,,,,,,,Feature,,,,,,
71,Subject,,,6599,5,0.474811298393643,Category,,,,,,,Feature,,,,,,
72,Subject,,,6594,10,0.932406560757614,Category,,,,,,,Feature,,,,,,
73,Subject,,,6589,15,1.367211680155842,Category,,,,,,,Feature,,,,,,
74,Subject,,,6584,20,1.7847792487895204,Category,,,,,,,Feature,,,,,,
75,Subject,,,6574,30,2.5728485778494132,Category,,,,,,,Feature,,,,,,
76,Subject,,,6564,40,2.564382476637374,Category,,,,,,,Feature,,,,,,
77,Subject,,,6554,50,2.323989029900497,Category,,,,,,,Feature,,,,,,
78,Subject,,,6544,60,2.069774913150802,Category,,,,,,,Feature,,,,,,
79,Subject,,,6534,70,1.9912371449662767,Category,,,,,,,Feature,,,,,,
80,Subject,,,6603,1,0.0857426825355025,Category,,,,,,,,Feature,,,,,
81,Subject,,,6599,5,0.4249799235500073,Category,,,,,,,,Feature,,,,,
82,Subject,,,6594,10,0.8422959001129852,Category,,,,,,,,Feature,,,,,
83,Subject,,,6589,15,1.2542062602422508,Category,,,,,,,,Feature,,,,,
84,Subject,,,6584,20,1.651388087495821,Category,,,,,,,,Feature,,,,,
85,Subject,,,6574,30,2.388508712658163,Category,,,,,,,,Feature,,,,,
86,Subject,,,6564,40,2.3801704820299547,Category,,,,,,,,Feature,,,,,
87,Subject,,,6554,50,2.14273097721744,Category,,,,,,,,Feature,,,,,
88,Subject,,,6544,60,1.918731614129663,Category,,,,,,,,Feature,,,,,
89,Subject,,,6534,70,1.8446241587391816,Category,,,,,,,,Feature,,,,,
90,Subject,,,21578,1,0.5803515495969471,Category,,,,,,,,,Feature,,,,
91,Subject,,,21574,5,2.9000902826588444,Category,,,,,,,,,Feature,,,,
92,Subject,,,21569,10,5.768948746497444,Category,,,,,,,,,Feature,,,,
93,Subject,,,21564,15,8.428164213939995,Category,,,,,,,,,Feature,,,,
94,Subject,,,21559,20,10.592163861564766,Category,,,,,,,,,Feature,,,,
95,Subject,,,21549,30,13.120469412393467,Category,,,,,,,,,Feature,,,,
96,Subject,,,21539,40,4.163301643312365,Category,,,,,,,,,Feature,,,,
97,Subject,,,21529,50,1.2581487818003907,Category,,,,,,,,,Feature,,,,
98,Subject,,,21519,60,0.36572351992986396,Category,,,,,,,,,Feature,,,,
99,Subject,,,21509,70,0.2144070774449436,Category,,,,,,,,,Feature,,,,
100,Subject,,,6603,1,0.12046097402312382,Category,,,,,,,,,,Feature,,,
101,Subject,,,6599,5,0.5940447990646589,Category,,,,,,,,,,Feature,,,
102,Subject,,,6594,10,1.1655101696013987,Category,,,,,,,,,,Feature,,,
103,Subject,,,6589,15,1.7094136623501839,Category,,,,,,,,,,Feature,,,
104,Subject,,,6584,20,2.2204506468553142,Category,,,,,,,,,,Feature,,,
105,Subject,,,6574,30,3.167726218536236,Category,,,,,,,,,,Feature,,,
106,Subject,,,6564,40,3.0562570676549576,Category,,,,,,,,,,Feature,,,
107,Subject,,,6554,50,2.714409612694026,Category,,,,,,,,,,Feature,,,
108,Subject,,,6544,60,2.3541863325897916,Category,,,,,,,,,,Feature,,,
109,Subject,,,6534,70,2.2415721870718035,Category,,,,,,,,,,Feature,,,
110,Subject,,,6603,1,0.396691102477885,Category,,,,,,,,,,,Feature,,
111,Subject,,,6599,5,1.840959578858735,Category,,,,,,,,,,,Feature,,
112,Subject,,,6594,10,3.4316129154231527,Category,,,,,,,,,,,Feature,,
113,Subject,,,6589,15,4.600358988389814,Category,,,,,,,,,,,Feature,,
114,Subject,,,6584,20,5.393179230716604,Category,,,,,,,,,,,Feature,,
115,Subject,,,6574,30,6.366036781795553,Category,,,,,,,,,,,Feature,,
116,Subject,,,6564,40,3.462781758574051,Category,,,,,,,,,,,Feature,,
117,Subject,,,6554,50,2.7065123710401617,Category,,,,,,,,,,,Feature,,
118,Subject,,,6544,60,2.3851030313415964,Category,,,,,,,,,,,Feature,,
119,Subject,,,6534,70,2.301806706391004,Category,,,,,,,,,,,Feature,,
120,Subject,,,6603,1,0.4586858162005403,,Feature,,,,,,,,,,,Category,
121,Subject,,,6599,5,2.2870974501581323,,Feature,,,,,,,,,,,Category,
122,Subject,,,6594,10,4.508608440610209,,Feature,,,,,,,,,,,Category,
123,Subject,,,6589,15,6.512421198595838,,Feature,,,,,,,,,,,Category,
124,Subject,,,6584,20,8.173014543273952,,Feature,,,,,,,,,,,Category,
125,Subject,,,6574,30,10.55085316929918,,Feature,,,,,,,,,,,Category,
126,Subject,,,6564,40,5.346319740226951,,Feature,,,,,,,,,,,Category,
127,Subject,,,6554,50,2.5116706064708,,Feature,,,,,,,,,,,Category,
128,Subject,,,6544,60,1.0595784982932348,,Feature,,,,,,,,,,,Category,
129,Subject,,,6534,70,0.7349297366451241,,Feature,,,,,,,,,,,Category,
130,Subject,,,6603,1,0.6344979213371652,,,Feature,,,,,,,,,,Category,
131,Subject,,,6599,5,3.1706751042336427,,,Feature,,,,,,,,,,Category,
132,Subject,,,6594,10,6.259848006594629,,,Feature,,,,,,,,,,Category,
133,Subject,,,6589,15,8.939620432388018,,,Feature,,,,,,,,,,Category,
134,Subject,,,6584,20,10.845435405804425,,,Feature,,,,,,,,,,Category,
135,Subject,,,6574,30,12.420801745738359,,,Feature,,,,,,,,,,Category,
136,Subject,,,6564,40,2.9400364486569517,,,Feature,,,,,,,,,,Category,
137,Subject,,,6554,50,0.4839114430697406,,,Feature,,,,,,,,,,Category,
138,Subject,,,6544,60,0.07117898460825926,,,Feature,,,,,,,,,,Category,
139,Subject,,,6534,70,0.03888280101867628,,,Feature,,,,,,,,,,Category,
140,Subject,,,6603,1,0.9989574088563535,,,,Feature,,,,,,,,,Category,
141,Subject,,,6599,5,4.991185138685141,,,,Feature,,,,,,,,,Category,
142,Subject,,,6594,10,9.8646581284855,,,,Feature,,,,,,,,,Category,
143,Subject,,,6589,15,12.481060852619546,,,,Feature,,,,,,,,,Category,
144,Subject,,,6584,20,12.676546919327215,,,,Feature,,,,,,,,,Category,
145,Subject,,,6574,30,12.68255574108038,,,,Feature,,,,,,,,,Category,
146,Subject,,,6564,40,0.0774356002367591,,,,Feature,,,,,,,,,Category,
147,Subject,,,6554,50,0.0,,,,Feature,,,,,,,,,Category,
148,Subject,,,6544,60,0.0,,,,Feature,,,,,,,,,Category,
149,Subject,,,6534,70,0.0,,,,Feature,,,,,,,,,Category,
150,Subject,,,6603,1,0.38143692728850287,,,,,Feature,,,,,,,,Category,
151,Subject,,,6599,5,1.90351322290205,,,,,Feature,,,,,,,,Category,
152,Subject,,,6594,10,3.7542877111277204,,,,,Feature,,,,,,,,Category,
153,Subject,,,6589,15,5.481168849201548,,,,,Feature,,,,,,,,Category,
154,Subject,,,6584,20,7.004802923631711,,,,,Feature,,,,,,,,Category,
155,Subject,,,6574,30,9.37415380350856,,,,,Feature,,,,,,,,Category,
156,Subject,,,6564,40,5.790489933779026,,,,,Feature,,,,,,,,Category,
157,Subject,,,6554,50,3.1734936715764355,,,,,Feature,,,,,,,,Category,
158,Subject,,,6544,60,1.5326391211212098,,,,,Feature,,,,,,,,Category,
159,Subject,,,6534,70,1.1067363980235374,,,,,Feature,,,,,,,,Category,
160,Subject,,,6603,1,0.7759755745003749,,,,,,Feature,,,,,,,Category,
161,Subject,,,6599,5,3.878397138918211,,,,,,Feature,,,,,,,Category,
162,Subject,,,6594,10,7.666539033388029,,,,,,Feature,,,,,,,Category,
163,Subject,,,6589,15,10.612683759464293,,,,,,Feature,,,,,,,Category,
164,Subject,,,6584,20,12.042084880122228,,,,,,Feature,,,,,,,Category,
165,Subject,,,6574,30,12.658310239277696,,,,,,Feature,,,,,,,Category,
166,Subject,,,6564,40,0.0,,,,,,Feature,,,,,,,Category,
167,Subject,,,6554,50,0.0,,,,,,Feature,,,,,,,Category,
168,Subject,,,6544,60,0.0,,,,,,Feature,,,,,,,Category,
169,Subject,,,6534,70,0.00864156969324067,,,,,,Feature,,,,,,,Category,
170,Subject,,,6603,1,0.5056767209306481,,,,,,,Feature,,,,,,Category,
171,Subject,,,6599,5,2.522283687833304,,,,,,,Feature,,,,,,Category,
172,Subject,,,6594,10,4.975940849011988,,,,,,,Feature,,,,,,Category,
173,Subject,,,6589,15,7.181408090978543,,,,,,,Feature,,,,,,Category,
174,Subject,,,6584,20,8.949422348567282,,,,,,,Feature,,,,,,Category,
175,Subject,,,6574,30,11.16738088350626,,,,,,,Feature,,,,,,Category,
176,Subject,,,6564,40,4.741723982352277,,,,,,,Feature,,,,,,Category,
177,Subject,,,6554,50,2.02713804917082,,,,,,,Feature,,,,,,Category,
178,Subject,,,6544,60,0.9665927022557267,,,,,,,Feature,,,,,,Category,
179,Subject,,,6534,70,0.727643952915713,,,,,,,Feature,,,,,,Category,
180,Subject,,,6603,1,0.6077709248425047,,,,,,,,Feature,,,,,Category,
181,Subject,,,6599,5,3.034023597460655,,,,,,,,Feature,,,,,Category,
182,Subject,,,6594,10,5.98397583718064,,,,,,,,Feature,,,,,Category,
183,Subject,,,6589,15,8.499435729948546,,,,,,,,Feature,,,,,Category,
184,Subject,,,6584,20,10.299407848995587,,,,,,,,Feature,,,,,Category,
185,Subject,,,6574,30,12.064048841057273,,,,,,,,Feature,,,,,Category,
186,Subject,,,6564,40,3.6395971587465823,,,,,,,,Feature,,,,,Category,
187,Subject,,,6554,50,1.1663455812745285,,,,,,,,Feature,,,,,Category,
188,Subject,,,6544,60,0.3813442002334062,,,,,,,,Feature,,,,,Category,
189,Subject,,,6534,70,0.2137191007710298,,,,,,,,Feature,,,,,Category,
190,Subject,,,6603,1,0.5352697297532727,,,,,,,,,Feature,,,,Category,
191,Subject,,,6599,5,2.668181140884469,,,,,,,,,Feature,,,,Category,
192,Subject,,,6594,10,5.259360856855002,,,,,,,,,Feature,,,,Category,
193,Subject,,,6589,15,7.5418687964761375,,,,,,,,,Feature,,,,Category,
194,Subject,,,6584,20,9.333415458040065,,,,,,,,,Feature,,,,Category,
195,Subject,,,6574,30,11.459372423956738,,,,,,,,,Feature,,,,Category,
196,Subject,,,6564,40,4.532497835715854,,,,,,,,,Feature,,,,Category,
197,Subject,,,6554,50,1.5993585732500655,,,,,,,,,Feature,,,,Category,
198,Subject,,,6544,60,0.5548743158222775,,,,,,,,,Feature,,,,Category,
199,Subject,,,6534,70,0.3548360402813133,,,,,,,,,Feature,,,,Category,
200,Subject,,,6603,1,0.43380016417076356,,,,,,,,,,Feature,,,Category,
201,Subject,,,6599,5,2.1662117431682275,,,,,,,,,,Feature,,,Category,
202,Subject,,,6594,10,4.289362998290002,,,,,,,,,,Feature,,,Category,
203,Subject,,,6589,15,6.259038352268015,,,,,,,,,,Feature,,,Category,
204,Subject,,,6584,20,7.966954708287836,,,,,,,,,,Feature,,,Category,
205,Subject,,,6574,30,10.49131624355164,,,,,,,,,,Feature,,,Category,
206,Subject,,,6564,40,5.411447086260155,,,,,,,,,,Feature,,,Category,
207,Subject,,,6554,50,2.39382573051225,,,,,,,,,,Feature,,,Category,
208,Subject,,,6544,60,1.0636647203175047,,,,,,,,,,Feature,,,Category,
209,Subject,,,6534,70,0.786000773523614,,,,,,,,,,Feature,,,Category,
210,Subject,,,6603,1,0.7421682572550661,,,,,,,,,,,Feature,,Category,
211,Subject,,,6599,5,3.7071648102140524,,,,,,,,,,,Feature,,Category,
212,Subject,,,6594,10,7.325041278678658,,,,,,,,,,,Feature,,Category,
213,Subject,,,6589,15,10.257169471568549,,,,,,,,,,,Feature,,Category,
214,Subject,,,6584,20,11.857740391990548,,,,,,,,,,,Feature,,Category,
215,Subject,,,6574,30,12.628139798799763,,,,,,,,,,,Feature,,Category,
216,Subject,,,6564,40,1.8789939313232638,,,,,,,,,,,Feature,,Category,
217,Subject,,,6554,50,0.2712037040329185,,,,,,,,,,,Feature,,Category,
218,Subject,,,6544,60,0.05177018326995353,,,,,,,,,,,Feature,,Category,
219,Subject,,,6534,70,0.0367229331540005,,,,,,,,,,,Feature,,Category,
220,Subject,,,27696,1,0.11874974808921548,,,,,,,,,,,,Feature,Category,
221,Subject,,,27692,5,0.5424279548011834,,,,,,,,,,,,Feature,Category,
222,Subject,,,27687,10,1.0431596047704434,,,,,,,,,,,,Feature,Category,
223,Subject,,,27682,15,1.5135762037016947,,,,,,,,,,,,Feature,Category,
224,Subject,,,27677,20,1.9662862006241937,,,,,,,,,,,,Feature,Category,
225,Subject,,,27667,30,2.829637268397317,,,,,,,,,,,,Feature,Category,
226,Subject,,,27657,40,2.9348502195805626,,,,,,,,,,,,Feature,Category,
227,Subject,,,27647,50,2.9218761764642953,,,,,,,,,,,,Feature,Category,
228,Subject,,,27637,60,2.8559701880381847,,,,,,,,,,,,Feature,Category,
229,Subject,,,27627,70,2.8180971797378547,,,,,,,,,,,,Feature,Category,
230,,Category,Feature,6603,1,0.207817151266941,,,,,,,,,,,,,,Subject
231,,Category,Feature,6599,5,0.9323231075128232,,,,,,,,,,,,,,Subject
232,,Category,Feature,6594,10,1.7615916264045257,,,,,,,,,,,,,,Subject
233,,Category,Feature,6589,15,2.5169217510939372,,,,,,,,,,,,,,Subject
234,,Category,Feature,6584,20,3.2308133587891694,,,,,,,,,,,,,,Subject
235,,Category,Feature,6574,30,4.54258702781844,,,,,,,,,,,,,,Subject
236,,Category,Feature,6564,40,4.374838728299289,,,,,,,,,,,,,,Subject
237,,Category,Feature,6554,50,4.096357070927173,,,,,,,,,,,,,,Subject
238,,Category,Feature,6544,60,3.753346171728891,,,,,,,,,,,,,,Subject
239,,Category,Feature,6534,70,3.5912515730535732,,,,,,,,,,,,,,Subject
240,,,,6603,1,0.12046097402312382,Category,Feature,,,,,,,,,,,,Subject
241,,,,6599,5,0.5940447990646589,Category,Feature,,,,,,,,,,,,Subject
242,,,,6594,10,1.1655101696013987,Category,Feature,,,,,,,,,,,,Subject
243,,,,6589,15,1.7094136623501839,Category,Feature,,,,,,,,,,,,Subject
244,,,,6584,20,2.2204506468553142,Category,Feature,,,,,,,,,,,,Subject
245,,,,6574,30,3.167726218536236,Category,Feature,,,,,,,,,,,,Subject
246,,,,6564,40,3.0562570676549576,Category,Feature,,,,,,,,,,,,Subject
247,,,,6554,50,2.714409612694026,Category,Feature,,,,,,,,,,,,Subject
248,,,,6544,60,2.3541863325897916,Category,Feature,,,,,,,,,,,,Subject
249,,,,6534,70,2.2415721870718035,Category,Feature,,,,,,,,,,,,Subject
250,,,,6603,1,0.7759755745003749,Category,,Feature,,,,,,,,,,,Subject
251,,,,6599,5,3.878397138918211,Category,,Feature,,,,,,,,,,,Subject
252,,,,6594,10,7.666539033388029,Category,,Feature,,,,,,,,,,,Subject
253,,,,6589,15,10.612683759464293,Category,,Feature,,,,,,,,,,,Subject
254,,,,6584,20,12.042084880122228,Category,,Feature,,,,,,,,,,,Subject
255,,,,6574,30,12.658310239277696,Category,,Feature,,,,,,,,,,,Subject
256,,,,6564,40,0.0,Category,,Feature,,,,,,,,,,,Subject
257,,,,6554,50,0.0,Category,,Feature,,,,,,,,,,,Subject
258,,,,6544,60,0.0,Category,,Feature,,,,,,,,,,,Subject
259,,,,6534,70,0.00864156969324067,Category,,Feature,,,,,,,,,,,Subject
260,,,,6603,1,0.6077709248425047,Category,,,Feature,,,,,,,,,,Subject
261,,,,6599,5,3.034023597460655,Category,,,Feature,,,,,,,,,,Subject
262,,,,6594,10,5.98397583718064,Category,,,Feature,,,,,,,,,,Subject
263,,,,6589,15,8.499435729948546,Category,,,Feature,,,,,,,,,,Subject
264,,,,6584,20,10.299407848995587,Category,,,Feature,,,,,,,,,,Subject
265,,,,6574,30,12.064048841057273,Category,,,Feature,,,,,,,,,,Subject
266,,,,6564,40,3.6395971587465823,Category,,,Feature,,,,,,,,,,Subject
267,,,,6554,50,1.1663455812745285,Category,,,Feature,,,,,,,,,,Subject
268,,,,6544,60,0.3813442002334062,Category,,,Feature,,,,,,,,,,Subject
269,,,,6534,70,0.2137191007710298,Category,,,Feature,,,,,,,,,,Subject
270,,,,6603,1,0.5056767209306481,Category,,,,Feature,,,,,,,,,Subject
271,,,,6599,5,2.522283687833304,Category,,,,Feature,,,,,,,,,Subject
272,,,,6594,10,4.975940849011988,Category,,,,Feature,,,,,,,,,Subject
273,,,,6589,15,7.181408090978543,Category,,,,Feature,,,,,,,,,Subject
274,,,,6584,20,8.949422348567282,Category,,,,Feature,,,,,,,,,Subject
275,,,,6574,30,11.16738088350626,Category,,,,Feature,,,,,,,,,Subject
276,,,,6564,40,4.741723982352277,Category,,,,Feature,,,,,,,,,Subject
277,,,,6554,50,2.02713804917082,Category,,,,Feature,,,,,,,,,Subject
278,,,,6544,60,0.9665927022557267,Category,,,,Feature,,,,,,,,,Subject
279,,,,6534,70,0.727643952915713,Category,,,,Feature,,,,,,,,,Subject
280,,,,6603,1,0.05884702834093884,Category,,,,,Feature,,,,,,,,Subject
281,,,,6599,5,0.2744805265702988,Category,,,,,Feature,,,,,,,,Subject
282,,,,6594,10,0.5138670844618585,Category,,,,,Feature,,,,,,,,Subject
283,,,,6589,15,0.7359232727405771,Category,,,,,Feature,,,,,,,,Subject
284,,,,6584,20,0.9494523232459762,Category,,,,,Feature,,,,,,,,Subject
285,,,,6574,30,1.3496122989114918,Category,,,,,Feature,,,,,,,,Subject
286,,,,6564,40,1.430984451665053,Category,,,,,Feature,,,,,,,,Subject
287,,,,6554,50,1.4762989078767463,Category,,,,,Feature,,,,,,,,Subject
288,,,,6544,60,1.5161969279249103,Category,,,,,Feature,,,,,,,,Subject
289,,,,6534,70,1.5251335320608226,Category,,,,,Feature,,,,,,,,Subject
290,,,,6603,1,0.43380016417076356,Category,,,,,,Feature,,,,,,,Subject
291,,,,6599,5,2.1662117431682275,Category,,,,,,Feature,,,,,,,Subject
292,,,,6594,10,4.289362998290002,Category,,,,,,Feature,,,,,,,Subject
293,,,,6589,15,6.259038352268015,Category,,,,,,Feature,,,,,,,Subject
294,,,,6584,20,7.966954708287836,Category,,,,,,Feature,,,,,,,Subject
295,,,,6574,30,10.49131624355164,Category,,,,,,Feature,,,,,,,Subject
296,,,,6564,40,5.411447086260155,Category,,,,,,Feature,,,,,,,Subject
297,,,,6554,50,2.39382573051225,Category,,,,,,Feature,,,,,,,Subject
298,,,,6544,60,1.0636647203175047,Category,,,,,,Feature,,,,,,,Subject
299,,,,6534,70,0.786000773523614,Category,,,,,,Feature,,,,,,,Subject
300,,,,6603,1,0.396691102477885,Category,,,,,,,Feature,,,,,,Subject
301,,,,6599,5,1.840959578858735,Category,,,,,,,Feature,,,,,,Subject
302,,,,6594,10,3.4316129154231527,Category,,,,,,,Feature,,,,,,Subject
303,,,,6589,15,4.600358988389814,Category,,,,,,,Feature,,,,,,Subject
304,,,,6584,20,5.393179230716604,Category,,,,,,,Feature,,,,,,Subject
305,,,,6574,30,6.366036781795553,Category,,,,,,,Feature,,,,,,Subject
306,,,,6564,40,3.462781758574051,Category,,,,,,,Feature,,,,,,Subject
307,,,,6554,50,2.7065123710401617,Category,,,,,,,Feature,,,,,,Subject
308,,,,6544,60,2.3851030313415964,Category,,,,,,,Feature,,,,,,Subject
309,,,,6534,70,2.301806706391004,Category,,,,,,,Feature,,,,,,Subject
310,,,,6603,1,0.01049157910006485,Category,,,,,,,,Feature,,,,,Subject
311,,,,6599,5,0.050557082908793904,Category,,,,,,,,Feature,,,,,Subject
312,,,,6594,10,0.09810503511884501,Category,,,,,,,,Feature,,,,,Subject
313,,,,6589,15,0.1456517654189535,Category,,,,,,,,Feature,,,,,Subject
314,,,,6584,20,0.19324125394819114,Category,,,,,,,,Feature,,,,,Subject
315,,,,6574,30,0.288548335493884,Category,,,,,,,,Feature,,,,,Subject
316,,,,6564,40,0.35580391412087525,Category,,,,,,,,Feature,,,,,Subject
317,,,,6554,50,0.4056100726748087,Category,,,,,,,,Feature,,,,,Subject
318,,,,6544,60,0.44954821291072816,Category,,,,,,,,Feature,,,,,Subject
319,,,,6534,70,0.46635465097821693,Category,,,,,,,,Feature,,,,,Subject
320,,,,6603,1,0.6344979213371652,Category,,,,,,,,,Feature,,,,Subject
321,,,,6599,5,3.1706751042336427,Category,,,,,,,,,Feature,,,,Subject
322,,,,6594,10,6.259848006594629,Category,,,,,,,,,Feature,,,,Subject
323,,,,6589,15,8.939620432388018,Category,,,,,,,,,Feature,,,,Subject
324,,,,6584,20,10.845435405804425,Category,,,,,,,,,Feature,,,,Subject
325,,,,6574,30,12.420801745738359,Category,,,,,,,,,Feature,,,,Subject
326,,,,6564,40,2.9400364486569517,Category,,,,,,,,,Feature,,,,Subject
327,,,,6554,50,0.4839114430697406,Category,,,,,,,,,Feature,,,,Subject
328,,,,6544,60,0.07117898460825926,Category,,,,,,,,,Feature,,,,Subject
329,,,,6534,70,0.03888280101867628,Category,,,,,,,,,Feature,,,,Subject
330,,,,6603,1,0.013485660039323787,Category,,,,,,,,,,Feature,,,Subject
331,,,,6599,5,0.06744261503972124,Category,,,,,,,,,,Feature,,,Subject
332,,,,6594,10,0.1349207891051895,Category,,,,,,,,,,Feature,,,Subject
333,,,,6589,15,0.19915264526638002,Category,,,,,,,,,,Feature,,,Subject
334,,,,6584,20,0.262606297104769,Category,,,,,,,,,,Feature,,,Subject
335,,,,6574,30,0.38938991295772246,Category,,,,,,,,,,Feature,,,Subject
336,,,,6564,40,0.47554576509366114,Category,,,,,,,,,,Feature,,,Subject
337,,,,6554,50,0.5377148857352665,Category,,,,,,,,,,Feature,,,Subject
338,,,,6544,60,0.5930870752685629,Category,,,,,,,,,,Feature,,,Subject
339,,,,6534,70,0.6141564564885683,Category,,,,,,,,,,Feature,,,Subject
340,,,,6603,1,0.06423041549938165,Category,,,,,,,,,,,Feature,,Subject
