,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
72,Subject,,,4584,10,0.5459474614895821,Category,,,,,,,Feature,,,,,,,,
73,Subject,,,4579,15,0.7955997047269641,Category,,,,,,,Feature,,,,,,,,
74,Subject,,,4574,20,1.0309269906920748,Category,,,,,,,Feature,,,,,,,,
75,Subject,,,4564,30,1.4519542134496215,Category,,,,,,,Feature,,,,,,,,
76,Subject,,,4554,40,1.5121815482943302,Category,,,,,,,Feature,,,,,,,,
77,Subject,,,4544,50,1.471278460832434,Category,,,,,,,Feature,,,,,,,,
78,Subject,,,4534,60,1.4607017357987306,Category,,,,,,,Feature,,,,,,,,
79,Subject,,,4524,70,1.4602952816045252,Category,,,,,,,Feature,,,,,,,,
80,Subject,,,4593,1,0.029866545346139136,Category,,,,,,,,Feature,,,,,,,
81,Subject,,,4589,5,0.14930858889423,Category,,,,,,,,Feature,,,,,,,
82,Subject,,,4584,10,0.29648064132313795,Category,,,,,,,,Feature,,,,,,,
83,Subject,,,4579,15,0.44074084081358456,Category,,,,,,,,Feature,,,,,,,
84,Subject,,,4574,20,0.5811261334574119,Category,,,,,,,,Feature,,,,,,,
85,Subject,,,4564,30,0.8513495327280148,Category,,,,,,,,Feature,,,,,,,
86,Subject,,,4554,40,0.9466619649302183,Category,,,,,,,,Feature,,,,,,,
87,Subject,,,4544,50,0.9750670516020513,Category,,,,,,,,Feature,,,,,,,
88,Subject,,,4534,60,0.9936669336937246,Category,,,,,,,,Feature,,,,,,,
89,Subject,,,4524,70,1.0044176051889453,Category,,,,,,,,Feature,,,,,,,
90,Subject,,,4593,1,0.03870738266936144,Category,,,,,,,,,Feature,,,,,,
91,Subject,,,4589,5,0.19196881126799703,Category,,,,,,,,,Feature,,,,,,
92,Subject,,,4584,10,0.37079723856508795,Category,,,,,,,,,Feature,,,,,,
93,Subject,,,4579,15,0.5388756885462419,Category,,,,,,,,,Feature,,,,,,
94,Subject,,,4574,20,0.6987705940274981,Category,,,,,,,,,Feature,,,,,,
95,Subject,,,4564,30,0.985288432794976,Category,,,,,,,,,Feature,,,,,,
96,Subject,,,4554,40,1.067179020068877,Category,,,,,,,,,Feature,,,,,,
97,Subject,,,4544,50,1.1042503488249622,Category,,,,,,,,,Feature,,,,,,
98,Subject,,,4534,60,1.1531409123136478,Category,,,,,,,,,Feature,,,,,,
99,Subject,,,4524,70,1.1641519592737657,Category,,,,,,,,,Feature,,,,,,
100,Subject,,,4593,1,0.06911651493526302,Category,,,,,,,,,,Feature,,,,,
101,Subject,,,4589,5,0.33294993293032765,Category,,,,,,,,,,Feature,,,,,
102,Subject,,,4584,10,0.646248740629963,Category,,,,,,,,,,Feature,,,,,
103,Subject,,,4579,15,0.9337529795896407,Category,,,,,,,,,,Feature,,,,,
104,Subject,,,4574,20,1.1912838083830573,Category,,,,,,,,,,Feature,,,,,
105,Subject,,,4564,30,1.630637120310095,Category,,,,,,,,,,Feature,,,,,
106,Subject,,,4554,40,1.5985298290164915,Category,,,,,,,,,,Feature,,,,,
107,Subject,,,4544,50,1.5060251970391028,Category,,,,,,,,,,Feature,,,,,
108,Subject,,,4534,60,1.4797117496312537,Category,,,,,,,,,,Feature,,,,,
109,Subject,,,4524,70,1.4673733174042756,Category,,,,,,,,,,Feature,,,,,
110,Subject,,,4593,1,0.21809057071047233,Category,,,,,,,,,,,Feature,,,,
111,Subject,,,4589,5,0.8774606355062531,Category,,,,,,,,,,,Feature,,,,
112,Subject,,,4584,10,1.48548689341837,Category,,,,,,,,,,,Feature,,,,
113,Subject,,,4579,15,1.8704242652377947,Category,,,,,,,,,,,Feature,,,,
114,Subject,,,4574,20,2.140954022166051,Category,,,,,,,,,,,Feature,,,,
