,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,annette,bertrand,blanche,dorothee,ludovico,madame cheron,madame montoni,signor,st. aubert,ugo
169,Subject,,,50850,70,0.0083954279702993,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
170,Subject,,,50919,1,0.5927306281686766,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
171,Subject,,,50915,5,2.9576144657730596,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
172,Subject,,,50910,10,5.897769684140327,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
173,Subject,,,50905,15,8.695629135336532,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
174,Subject,,,50900,20,11.060017701449231,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
175,Subject,,,50890,30,13.984654965303024,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
176,Subject,,,50880,40,4.429899900059247,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
177,Subject,,,50870,50,1.3901967480701112,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
178,Subject,,,50860,60,0.4763334499554046,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
179,Subject,,,50850,70,0.321675062924678,,,,,,,Feature,,,,,,Category,,,,,,,,,,,
180,Subject,,,50919,1,0.5147760462728886,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
181,Subject,,,50915,5,2.56520306722158,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
182,Subject,,,50910,10,5.1029905142418555,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
183,Subject,,,50905,15,7.509754933866527,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
184,Subject,,,50900,20,9.577285021624999,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
185,Subject,,,50890,30,12.486489844784554,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
186,Subject,,,50880,40,5.279216076631367,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
187,Subject,,,50870,50,2.278524067263607,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
188,Subject,,,50860,60,1.0561704175120663,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
189,Subject,,,50850,70,0.7726551521051318,,,,,,,,Feature,,,,,Category,,,,,,,,,,,
190,Subject,,,50919,1,0.5888664635470652,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
191,Subject,,,50915,5,2.9391641941297215,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
192,Subject,,,50910,10,5.8591772456392395,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
193,Subject,,,50905,15,8.635200080715821,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
194,Subject,,,50900,20,10.99104172459978,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
195,Subject,,,50890,30,13.945837027600053,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
196,Subject,,,50880,40,4.456001670841873,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
197,Subject,,,50870,50,1.3278940032888322,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
198,Subject,,,50860,60,0.44557248415196044,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
199,Subject,,,50850,70,0.2945503600255296,,,,,,,,,Feature,,,,Category,,,,,,,,,,,
200,Subject,,,50919,1,0.4519003757318133,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
201,Subject,,,50915,5,2.258688883982346,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
202,Subject,,,50910,10,4.507641757611526,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
203,Subject,,,50905,15,6.701251170505348,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
204,Subject,,,50900,20,8.743521684283932,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
205,Subject,,,50890,30,12.010835602600075,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
206,Subject,,,50880,40,5.782702070686058,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
207,Subject,,,50870,50,2.407368367887981,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
208,Subject,,,50860,60,1.014427965661952,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
209,Subject,,,50850,70,0.7249360849911856,,,,,,,,,,Feature,,,Category,,,,,,,,,,,
210,Subject,,,50919,1,0.6473479287354367,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
211,Subject,,,50915,5,3.233599366849294,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
212,Subject,,,50910,10,6.447170488947796,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
213,Subject,,,50905,15,9.483314945214904,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
214,Subject,,,50900,20,11.927941841741033,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
