,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,R_possessive,i,lemma,neg,t,text
145,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,1495,word,False,1487,words
146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1503,small,False,1487,small
147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1521,eat,False,1487,ate
148,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1540,young,False,1537,young
149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,me,,1542,hide,False,1537,hid
150,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1550,young,False,1537,young
151,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1555,Angel,False,1537,angel
152,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1558,young,False,1557,young
153,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,1562,word,False,1557,words
154,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1567,young,False,1566,young
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1571,secret,False,1566,secret
156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1581,boy,False,1566,boy
157,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1599,boy,False,1593,boy
158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boy,boy,,1601,attempt,False,1593,attempt
159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,boy,,1603,hide,False,1593,hide
160,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1607,young,False,1593,young
161,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1611,boy,False,1610,boy
162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1631,clothe,False,1610,clothes
163,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1641,safe,False,1610,safe
164,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1645,young,False,1610,young
165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,1649,creep,False,1610,creep
166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,1651,creep,False,1610,creep
167,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1666,young,False,1661,young
168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1669,harm,False,1661,harming
169,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1674,present,False,1661,present
170,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1679,difficulty,False,1661,difficulty
171,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1689,young,False,1681,young
172,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1721,broken,False,1705,broken
173,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1724,food,False,1705,food
174,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1736,Battery,False,1705,battery
175,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,1743,Lord,False,1741,lord
176,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1744,strike,False,1741,strike
177,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1788,young,False,1770,young
178,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1799,Goo,False,1770,goo
179,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1801,good,False,1770,good
180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1804,sir,False,1770,sir
181,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,1808,falter,False,1770,faltered
182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1825,cold,False,1811,cold
183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1839,eel,False,1837,eel
184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1846,time,False,1843,time
185,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,,1849,hug,False,1843,hugged
186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,,1865,limp,False,1843,limped
187,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1869,church,False,1843,church
188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,,,1878,pick,False,1872,picking
189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1883,nettle,False,1872,nettles
190,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1890,bind,False,1872,bound
191,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1892,green,False,1872,green
192,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,1899,young,False,1872,young
