,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lookee,,16339,defy,False,16338,defy
182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,he,,16370,mouth,False,16347,mouth
183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lookee,,16411,convict,False,16402,convict
184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,you,,16515,convict,False,16510,convict
185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,convict,,16554,murder,False,16537,murder
186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,16632,convict,False,16607,convict
187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,my,,16707,innocence,False,16689,innocence
188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,we,,16821,depart,False,16819,departed
189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,16916,convict,False,16904,convict
190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,You,,16923,come,False,16904,coming
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sergeant,,17306,guard,False,17277,guard
192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,sergeant,,17316,convict,False,17315,convict
193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,escape,,17392,prevent,False,17390,prevent
194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,17638,convict,False,17632,convict
195,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,17673,eat,False,17664,eat
196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,17723,starve,False,17708,starved
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,throat,,17770,guard,False,17763,guard
198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hulk,,17881,lie,False,17869,lying
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,my,,17995,hope,False,17970,hope
200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,my,,18055,love,False,18036,love
201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,18123,bad,False,18102,worse
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,18134,confidence,False,18128,confidence
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,my,,18151,companion,False,18128,companion
204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,my,,18161,represent,False,18159,represented
205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,18258,beer,False,18238,beer
206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,my,,18330,imitate,False,18316,imitated
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,my,,18566,find,False,18550,found
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,18883,father,False,18856,father
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,father,,18885,exaltation,False,18856,exaltation
210,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,18937,Catechism,False,18926,Catechism
211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,I,,19048,render,False,19011,render
212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ode on the Passions,,19362,fall,False,19346,fell
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,aunt,,19464,confess,False,19453,confess
214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aunt,,19507,think,False,19501,thought
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mr. Wopsle,,19578,aunt,False,19559,aunt
216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,aunt,,19607,fall,False,19604,fell
217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,aunt,,19666,slate,False,19657,slate
218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,19807,receive,False,19789,received
219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,20356,occupation,False,20338,occupation
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20379,father,False,20378,father
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20402,mother,False,20378,mother
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20470,mother,False,20459,mother
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20478,father,False,20459,father
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20485,mother,False,20459,mother
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20530,father,False,20528,father
226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,20634,learning,False,20603,learning
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20686,father,False,20647,father
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20760,father,False,20755,father
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,20800,assure,False,20798,assure
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,21004,mother,False,20988,mother
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mother,,21028,share,False,21016,share
232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it,,21255,signify,False,21238,signify
