,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
75,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,,1012,come,False,1005,coming
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,your,,1020,father,False,1016,father
78,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
79,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
80,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
81,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
82,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
83,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,your,,1023,mother,False,1016,mother
84,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,1052,mutter,False,1051,muttered
85,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,1052,mutter,False,1051,muttered
86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1086,sir,False,1080,sir
87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1086,sir,False,1080,sir
88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sister,,1187,question,False,1177,question
89,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,church,,1377,jump,False,1363,jumped
90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,church,,1377,jump,False,1363,jumped
91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1394,upright,False,1383,upright
92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1394,upright,False,1383,upright
93,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1398,top,False,1383,top
94,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1398,top,False,1383,top
95,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,1398,top,False,1383,top
96,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,1401,stone,False,1383,stone
97,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,1401,stone,False,1383,stone
98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,You,,1418,morrow,False,1411,morrow morning
99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,You,,1437,Battery,False,1427,Battery
100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,You,,1437,Battery,False,1427,Battery
101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,You,you,1448,dare,True,1441,dare
102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,You,you,1448,dare,True,1441,dare
103,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,sir,,1490,word,False,1482,words
104,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,sir,,1490,word,False,1482,words
105,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,sir,,1490,word,False,1482,words
106,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,sir,,1490,word,False,1482,words
107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,You,,1515,eat,False,1482,ate
108,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,sir,,1549,Angel,False,1531,Angel
109,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,sir,,1549,Angel,False,1531,Angel
110,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,sir,,1549,Angel,False,1531,Angel
111,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,sir,,1549,Angel,False,1531,Angel
112,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,sir,,1549,Angel,False,1531,Angel
113,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,man,,1556,word,False,1551,words
114,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,man,,1556,word,False,1551,words
115,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,man,,1556,word,False,1551,words
116,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,man,,1556,word,False,1551,words
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,1565,secret,False,1560,secret
118,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boy,,1595,attempt,False,1587,attempt
119,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,1634,safe,False,1604,safe
120,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,1634,safe,False,1604,safe
121,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,1634,safe,False,1604,safe
122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,1642,creep,False,1604,creep
123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,him,1644,creep,False,1604,creep
124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,him,1644,creep,False,1604,creep
125,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,you,1662,harm,False,1654,harming
126,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,you,1662,harm,False,1654,harming
