,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,conscience,,4700,boy,False,4690,boy
224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,,4763,think,True,4760,thought
225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,4773,necessity,False,4760,necessity
226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,i,4763,think,True,4760,thought
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,4799,errand,False,4760,errand
228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,i,,4798,small,False,4760,small
229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,,4823,think,False,4809,thought
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,4835,iron,False,4809,iron
231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,,4871,think,False,4866,thought
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,5035,conscience,False,5024,conscience
233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,his,,4858,morrow,False,4809,morrow
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,his,,4908,accredit,False,4866,accredited
235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,his,,4922,morrow,False,4866,morrow
236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,they,,5217,warn,False,5214,warning
237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,they,him,5217,warn,False,5214,warning
238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,they,,5289,think,False,5278,thought
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,they,,5326,curiosity,False,5319,curiosity
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,they,,5419,word,False,5412,word
241,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,they,,5228,warn,False,5221,warning
242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,him,,5289,think,False,5278,thought
