,NRCw_Em_anger,NRCw_Em_anticipation,NRCw_Em_disgust,NRCw_Em_fear,NRCw_Em_joy,NRCw_Em_negative,NRCw_Em_positive,NRCw_Em_sadness,NRCw_Em_surprise,NRCw_Em_trust,agent,lemma,neg,patient,predicative,text
106,False,True,False,False,True,False,True,False,False,False,,delight,False,,,delight
107,True,True,True,True,True,True,True,True,True,True,,feeling,False,,,feeling
108,False,True,False,True,True,False,True,False,True,False,,advance,False,,,advancing
109,False,False,False,False,True,False,True,False,False,True,,promise,False,,,promise
110,False,False,False,False,True,False,True,False,False,False,,vivid,False,,,vivid
111,False,False,False,False,False,False,False,False,False,True,,persuade,False,,,persuaded
112,False,False,False,True,False,True,False,True,False,False,,desolation,False,,,desolation
113,False,True,False,False,True,False,True,False,True,True,the pole,present,False,the pole,,presents
114,False,False,False,False,True,False,True,False,False,False,,beauty,False,,,beauty
115,False,True,False,False,True,False,True,False,False,False,,delight,False,,,delight
116,False,True,False,False,True,False,True,False,True,True,,sun,False,,,sun
117,False,True,False,False,False,False,True,False,False,False,,horizon,False,,,horizon
118,False,False,False,False,False,True,False,True,True,False,,leave,False,,,leave
119,False,False,False,False,False,False,False,False,False,True,,trust,False,,,trust
120,False,False,False,False,False,False,True,False,False,False,,precede,False,,,preceding
121,False,True,False,False,False,False,False,False,False,True,,navigator,False,,,navigators
122,True,False,True,True,False,True,False,True,False,False,,banish,False,,,banished
123,False,False,False,False,False,False,True,False,False,False,,calm,False,,,calm
124,False,False,False,False,False,False,True,False,False,False,,sea,False,,,sea
125,False,False,False,False,False,False,True,False,False,False,,land,False,,,land
126,False,False,False,False,False,False,True,False,False,False,,surpass,False,,,surpassing
127,False,False,False,False,True,False,True,False,False,False,,beauty,False,,,beauty
128,False,False,False,False,False,True,False,False,False,False,,hitherto,False,,,hitherto
129,False,True,False,False,False,False,True,False,False,False,,production,False,,,productions
130,False,False,False,False,False,False,True,False,False,False,,feature,False,,,features
131,False,True,False,False,True,False,True,False,False,True,,heavenly,False,,,heavenly
132,False,False,False,False,False,False,False,False,True,False,,undiscovered,False,,,undiscovered
133,False,True,False,False,False,False,True,False,True,True,,expect,True,,,expected
134,False,False,False,False,False,False,True,False,False,False,,wondrous,False,,,wondrous
135,False,False,False,False,False,False,True,False,False,False,,needle,False,,,needle
136,False,False,False,False,False,False,True,False,False,False,,regulate,False,,,regulate
137,False,True,False,False,True,False,True,False,False,False,,celestial,False,,,celestial
138,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyage
139,False,False,False,False,False,False,True,False,False,False,,render,False,,,render
140,False,True,False,False,True,False,True,False,False,False,,ardent,False,,,ardent
141,False,True,False,False,False,False,True,False,True,False,,curiosity,False,,,curiosity
142,False,False,False,False,False,False,True,False,False,False,,visit,True,,,visited
143,False,False,False,False,False,False,True,False,False,False,,land,False,,,land
144,True,False,False,True,False,True,False,False,False,False,,fear,False,,,fear
145,False,False,False,True,False,True,False,True,False,False,,danger,False,,,danger
146,True,True,True,True,False,True,False,True,True,False,,death,False,,,death
147,False,False,False,False,False,True,False,False,False,False,,laborious,False,,,laborious
148,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyage
149,False,False,False,False,True,False,True,False,False,False,,joy,False,,,joy
150,False,True,False,False,True,False,True,False,False,False,,child,False,,,child
151,False,True,False,False,True,False,True,False,False,False,,holiday,False,,,holiday
152,False,False,False,False,False,False,True,False,False,True,,mate,False,,,mates
153,False,True,False,False,False,False,True,False,False,False,,expedition,False,,,expedition
154,False,False,False,False,False,False,True,False,False,False,,discovery,False,,,discovery
155,False,True,False,False,False,False,False,False,False,False,,conjecture,False,,,conjectures
156,False,False,False,False,False,False,True,False,False,False,,benefit,False,,,benefit
157,False,True,False,False,True,False,True,False,True,True,,present,False,,,present
158,False,False,False,False,False,False,False,False,False,True,,secret,False,,,secret
159,False,False,False,False,False,False,True,False,False,True,,magnet,False,,,magnet
160,False,True,False,False,False,False,False,False,False,False,,undertaking,False,,,undertaking
161,False,False,False,False,False,True,False,True,False,False,the soul,dispel,False,the soul,,dispelled
162,True,False,False,False,False,True,False,False,False,False,,agitation,False,,,agitation
163,False,True,False,False,False,False,False,False,False,False,,letter,False,,,letter
164,False,True,False,False,True,False,True,False,False,True,,glow,False,,,glow
165,False,True,False,False,True,False,True,False,True,False,,enthusiasm,False,,,enthusiasm
166,False,False,False,False,False,False,True,False,False,False,,contribute,False,,,contributes
167,False,False,False,False,False,False,False,False,True,True,,steady,False,,,steady
168,False,False,False,False,False,False,True,False,False,False,,intellectual,False,,,intellectual
169,False,True,False,False,False,False,True,False,False,False,,expedition,False,,,expedition
170,False,False,False,False,False,False,False,False,False,True,,account,False,,,accounts
171,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyages
172,False,False,False,False,False,False,True,False,False,False,,prospect,False,,,prospect
173,False,True,False,False,False,False,False,False,False,False,,arrive,False,,,arriving
174,False,False,False,False,False,False,True,False,False,False,,sea,False,,,seas
175,False,True,False,False,False,True,True,False,False,False,,surround,False,,,surround
176,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyages
177,False,False,False,False,False,False,True,False,False,False,,discovery,False,,,discovery
178,False,False,False,False,False,False,True,False,False,False,,compose,False,,,composed
179,False,True,False,False,True,False,True,False,True,True,,good,False,,,good
180,False,False,False,False,False,False,True,False,False,False,,library,False,,,library
181,True,False,True,False,False,True,False,True,False,False,,neglect,False,,,neglected
182,False,False,False,False,False,False,True,False,False,False,,reading,False,,,reading
183,False,False,False,False,False,False,True,False,False,False,,study,False,,,study
184,False,True,False,False,True,False,True,False,False,True,,familiarity,False,,,familiarity
185,False,False,False,False,False,False,True,False,False,False,,increase,False,,,increased
186,False,False,False,False,False,True,False,True,False,False,,regret,False,,,regret
187,False,True,False,False,True,False,True,False,False,False,,child,False,,,child
188,False,False,False,False,False,False,True,False,False,False,,learn,False,,,learning
189,False,False,False,False,False,False,False,False,False,True,,father,False,,,father
190,True,False,True,True,False,True,False,True,False,False,,die,False,,,dying
191,False,False,False,False,False,True,False,False,False,False,,injunction,False,,,injunction
192,False,False,False,False,False,True,False,True,False,False,,forbid,False,,,forbidden
193,False,True,False,False,False,False,True,False,False,False,,vision,False,,,visions
194,False,False,False,False,False,True,False,False,False,False,whose effusions,fade,False,heaven,,faded
195,False,True,False,False,False,False,False,False,False,False,,time,False,,,time
196,False,False,True,True,False,True,False,True,False,False,,failure,False,,,failure
197,False,False,False,False,False,True,False,False,False,False,,heavily,False,,,heavily
198,True,False,False,True,False,True,False,False,False,False,,bear,False,,,bore
199,False,False,True,False,False,True,False,True,False,False,,disappointment,False,,,disappointment
200,False,True,False,False,False,False,False,False,False,False,,time,False,,,time
201,False,True,False,False,True,False,True,False,True,True,,fortune,False,,,fortune
202,False,True,False,False,False,False,False,False,False,False,,thought,False,,,thoughts
203,False,True,False,False,True,False,True,False,True,True,,present,False,,,present
204,False,True,False,False,False,False,False,False,False,False,,undertaking,False,,,undertaking
205,False,False,False,False,False,True,False,True,False,False,,hardship,False,,,hardship
206,False,True,False,False,False,False,True,False,False,False,,expedition,False,,,expeditions
207,False,False,False,False,False,False,True,False,False,False,,endure,False,,,endured
208,False,False,False,False,False,True,False,False,False,False,,cold,False,,,cold
209,False,False,False,False,False,True,False,True,False,False,,famine,False,,,famine
210,False,True,False,False,False,False,False,True,True,False,,thirst,False,,,thirst
211,False,False,False,False,False,False,True,False,False,False,,study,False,,,study
212,False,True,False,False,False,False,False,False,False,True,,theory,False,,,theory
213,False,False,False,False,False,False,True,False,False,False,,advantage,False,,,advantage
214,False,True,False,False,True,False,True,False,False,True,,hire,False,myself,,hired
215,False,False,False,False,False,False,True,False,False,True,,mate,False,,,mate
216,False,False,False,False,True,False,True,False,False,True,,admiration,False,,,admiration
217,False,True,False,False,True,False,True,False,False,True,,proud,False,,,proud
218,False,False,False,False,False,False,True,False,False,False,,captain,False,,,captain
219,False,False,False,False,False,False,True,False,False,False,,offer,False,,,offered
220,False,False,False,False,False,False,True,False,False,True,,dignity,False,,,dignity
221,False,False,False,False,False,False,True,False,False,False,,earnestness,False,,,earnestness
222,False,False,False,False,False,False,True,False,False,False,,valuable,False,,,valuable
223,False,False,False,False,False,False,True,False,False,False,,dear,False,,,dear
224,True,True,False,False,False,False,True,False,False,True,,deserve,True,,,deserve
225,False,False,False,False,True,False,True,False,False,False,,accomplish,False,,,accomplish
226,False,False,False,False,False,False,True,False,False,False,,ease,False,,,ease
227,False,False,False,False,True,False,True,False,False,False,,luxury,False,,,luxury
228,False,False,False,False,False,False,True,False,False,True,,prefer,False,,,preferred
229,False,True,False,False,True,False,True,False,False,True,,glory,False,,,glory
230,False,False,False,False,True,False,True,False,False,True,,wealth,False,,,wealth
231,False,False,False,False,False,False,True,False,False,False,,affirmative,False,,,affirmative
232,False,False,False,False,False,False,True,False,False,False,,courage,False,,,courage
233,False,True,False,False,True,False,True,False,True,True,,hope,False,,,hopes
234,False,True,False,False,True,False,True,False,True,False,,spirit,False,,,spirits
235,True,False,False,True,False,True,False,True,False,False,,depressed,False,,,depressed
236,False,True,False,False,False,False,False,False,False,False,,long,False,,,long
237,False,False,False,True,False,False,False,False,False,False,,difficult,False,,,difficult
238,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyage
239,False,False,False,True,False,True,False,True,True,False,,emergency,False,,,emergencies
240,True,False,False,False,False,True,False,False,False,False,,demand,False,,,demand
241,False,False,False,False,True,False,True,False,False,True,,fortitude,False,,,fortitude
242,False,True,False,False,True,False,True,False,True,False,,spirit,False,,,spirits
243,True,True,False,True,False,True,False,True,False,False,,fail,False,,,failing
244,False,True,False,False,False,False,False,False,False,False,,motion,False,,,motion
245,False,True,False,False,True,False,True,False,True,True,,pleasant,False,,the spirits of others,pleasant
246,False,False,False,False,False,False,True,False,False,True,,agreeable,False,,,agreeable
247,False,False,False,False,False,False,False,False,False,True,,coach,False,,,coach
248,False,False,False,False,False,True,False,False,False,False,,cold,False,,,cold
249,False,False,False,True,False,False,False,False,False,False,,prevent,False,,,prevents
250,False,False,False,False,False,True,False,False,False,False,,freeze,False,,,freezing
251,False,True,False,False,True,False,True,False,False,True,,ambition,False,,,ambition
252,True,False,True,True,False,True,False,True,True,False,,lose,False,,,lose
253,False,True,False,False,False,False,False,True,False,False,,depart,False,,,depart
254,False,True,False,False,True,False,True,False,False,True,,hire,False,,,hire
255,False,True,False,False,False,False,False,False,False,False,,ship,False,,,ship
256,False,True,False,False,True,False,True,False,False,True,,pay,False,,,paying
257,False,False,False,False,False,False,False,False,False,True,,intend,True,,,intend
258,False,False,False,False,False,False,True,False,False,False,,dear,False,,,dear
259,False,False,False,False,False,False,True,False,False,False,,question,False,,,question
260,False,True,False,False,True,False,True,False,True,True,,succeed,False,,,succeed
261,False,False,False,False,False,False,True,False,False,False,,dear,False,,,dear
262,False,False,False,False,True,False,True,False,False,True,,excellent,False,,,excellent
263,False,True,False,False,True,False,True,False,True,True,,blessing,False,,,blessings
264,False,False,False,False,True,False,True,False,False,True,,save,False,,,save
265,False,False,False,False,True,False,True,False,False,False,,gratitude,False,,,gratitude
266,False,False,False,False,True,False,True,False,False,False,,love,False,,,love
267,False,False,False,False,False,False,True,False,False,False,,kindness,False,,,kindness
268,False,False,False,False,False,False,True,False,False,True,,brother,False,,,brother
269,False,True,False,False,False,False,False,False,False,False,,LETTER,False,,,letter
270,False,True,False,False,False,False,False,False,False,False,,time,False,,,time
271,False,True,False,False,True,False,True,False,False,True,,hire,False,,,hired
272,False,False,False,False,False,False,True,False,False,False,,occupy,False,,,occupied
273,False,True,False,False,True,False,True,False,False,True,,engage,False,,,engaged
274,False,True,False,False,False,False,False,False,False,True,,depend,False,,,depend
275,True,True,True,True,True,True,True,False,False,True,,possess,False,,,possessed
276,False,False,False,False,False,False,True,False,False,False,,courage,False,,,courage
