,categ,entity_i,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t0,t1
207,person,52,PRON,us,PRP,us,4230,PRON,we,PRP,we,4225,4248
208,person,52,PRON,us,PRP,us,4245,DET,our,PRP$,our,4225,4248
209,person,52,PRON,us,PRP,us,4248,PRON,we,PRP,We,4248,4278
210,person,52,PRON,us,PRP,us,4339,PRON,we,PRP,we,4328,4360
211,person,52,PRON,us,PRP,us,4348,PRON,us,PRP,us,4328,4360
212,,53,PROPN,last monday,NNP,Last Monday (July 31st),3945,PROPN,last monday,NNP,Last Monday (July 31st),3945,3978
213,,53,PROPN,last monday,NNP,Last Monday (July 31st),3968,PRON,her,PRP,her,3945,3978
214,,53,PROPN,last monday,NNP,Last Monday (July 31st),3975,PRON,she,PRP,she,3945,3978
215,environment,54,NOUN,sledge,NN,a sledge,4089,NOUN,sledge,NN,a sledge,4081,4134
216,environment,54,NOUN,sledge,NN,a sledge,4126,NOUN,sledge,NN,the sledge,4081,4134
217,environment,55,NOUN,apparition,NN,this apparition,4179,NOUN,apparition,NN,this apparition,4166,4199
218,environment,55,NOUN,apparition,NN,this apparition,4185,PRON,it,PRP,it,4166,4199
219,environment,56,NOUN,ice,NN,ice,4205,NOUN,ice,NN,ice,4199,4225
220,environment,56,NOUN,ice,NN,ice,4239,NOUN,ice,NN,the ice,4225,4248
221,environment,56,NOUN,ice,NN,ice,4275,NOUN,ice,NN,the ice,4248,4278
222,environment,56,NOUN,ice,NN,ice,4942,NOUN,ice,NN,the ice,4927,4951
223,environment,56,NOUN,ice,NN,ice,5030,NOUN,ice,NN,the ice,4999,5033
224,environment,56,NOUN,ice,NN,ice,5164,NOUN,ice,NN,the ice,5151,5172
225,environment,56,NOUN,ice,NN,ice,5187,NOUN,ice,NN,the ice,5172,5220
226,environment,57,NOUN,sea,NN,the ground sea,4232,NOUN,sea,NN,the ground sea,4225,4248
227,environment,57,NOUN,sea,NN,the ground sea,4325,NOUN,sea,NN,the sea,4289,4328
228,environment,57,NOUN,sea,NN,the ground sea,4434,NOUN,sea,NN,the open sea,4409,4438
229,person,58,NOUN,sailors,NNS,all the sailors,4309,NOUN,sailors,NNS,all the sailors,4289,4328
230,person,58,NOUN,sailors,NNS,all the sailors,4376,NOUN,sailors,NNS,the sailors,4360,4385
231,person,58,NOUN,sailors,NNS,all the sailors,5357,NOUN,sailors,NNS,the sailors,5347,5375
232,person,58,NOUN,sailors,NNS,all the sailors,5366,PRON,they,PRP,they,5347,5375
233,person,59,NOUN,dog,NN,Only one dog,4360,NOUN,dog,NN,Only one dog,4360,4385
234,person,59,NOUN,dog,NN,Only one dog,4373,PRON,it,PRP,it,4360,4385
235,person,59,NOUN,dog,NN,Only one dog,4385,PRON,he,PRP,He,4385,4409
236,person,60,NOUN,man,NN,a man,4616,NOUN,man,NN,a man,4613,4624
237,person,60,NOUN,man,NN,a man,4628,PRON,him,PRP,him,4624,4647
238,person,60,NOUN,man,NN,a man,4637,PRON,he,PRP,he,4624,4647
239,person,60,NOUN,man,NN,a man,4644,PRON,he,PRP,he,4624,4647
240,person,60,NOUN,man,NN,a man,4650,PRON,him,PRP,him,4647,4676
241,person,60,NOUN,man,NN,a man,4658,PRON,him,PRP,him,4647,4676
242,person,60,NOUN,man,NN,a man,4663,PRON,him,PRP,him,4647,4676
243,person,60,NOUN,man,NN,a man,4669,PRON,him,PRP,him,4647,4676
244,person,60,NOUN,man,NN,a man,4679,PRON,he,PRP,he,4676,4702
245,person,60,NOUN,man,NN,a man,4686,PRON,him,PRP,him,4676,4702
246,person,60,NOUN,man,NN,a man,4693,PRON,him,PRP,him,4676,4702
247,person,60,NOUN,man,NN,a man,4705,PRON,he,PRP,he,4702,4720
248,person,60,NOUN,man,NN,a man,4716,PRON,him,PRP,him,4702,4720
249,person,60,NOUN,man,NN,a man,4726,PRON,he,PRP,he,4720,4745
250,person,60,NOUN,man,NN,a man,4737,DET,his,PRP$,his,4720,4745
251,person,60,NOUN,man,NN,a man,4741,PRON,him,PRP,him,4720,4745
252,person,60,NOUN,man,NN,a man,4746,PRON,he,PRP,he,4745,4773
253,person,60,NOUN,man,NN,a man,4755,PRON,him,PRP,him,4745,4773
254,person,60,NOUN,man,NN,a man,4764,PRON,him,PRP,him,4745,4773
255,person,60,NOUN,man,NN,a man,4781,DET,his,PRP$,his,4773,4844
256,person,60,NOUN,man,NN,a man,4809,PRON,him,PRP,him,4773,4844
257,person,60,NOUN,man,NN,a man,4813,PRON,him,PRP,him,4773,4844
258,person,60,NOUN,man,NN,a man,4820,DET,his,PRP$,his,4773,4844
259,person,60,NOUN,man,NN,a man,4845,PRON,he,PRP,he,4844,4872
260,person,60,NOUN,man,NN,a man,4854,PRON,he,PRP,he,4844,4872
261,person,60,NOUN,man,NN,a man,4856,DET,his,PRP$,his,4844,4872
262,person,60,NOUN,man,NN,a man,4869,PRON,him,PRP,him,4844,4872
263,person,61,PRON,we,PRP,We,4624,PRON,we,PRP,We,4624,4647
264,person,61,PRON,we,PRP,We,4647,PRON,we,PRP,We,4647,4676
265,person,61,PRON,we,PRP,We,4684,PRON,we,PRP,we,4676,4702
266,environment,62,NOUN,cabin,NN,the cabin,4630,NOUN,cabin,NN,the cabin,4624,4647
267,environment,62,NOUN,cabin,NN,the cabin,5264,NOUN,cabin,NN,the cabin,5236,5281
268,environment,62,NOUN,cabin,NN,the cabin,5344,NOUN,cabin,NN,his cabin,5322,5347
269,environment,63,NOUN,deck,NN,the deck,4653,NOUN,deck,NN,the deck,4647,4676
270,environment,63,NOUN,deck,NN,the deck,5598,NOUN,deck,NN,the deck,5585,5611
271,environment,64,NOUN,countenance,NN,his whole countenance,4820,NOUN,countenance,NN,his whole countenance,4773,4844
272,environment,64,NOUN,countenance,NN,his whole countenance,4828,PRON,it,PRP,it,4773,4844
273,person,65,NOUN,guest,NN,my guest,4873,NOUN,guest,NN,my guest,4872,4927
274,person,65,NOUN,guest,NN,my guest,4894,PRON,him,PRP,him,4872,4927
275,person,65,NOUN,guest,NN,my guest,4903,PRON,him,PRP,him,4872,4927
276,person,66,NOUN,lieutenant,NN,the lieutenant,4931,NOUN,lieutenant,NN,the lieutenant,4927,4951
277,person,66,NOUN,lieutenant,NN,the lieutenant,4936,PRON,he,PRP,he,4927,4951
278,person,66,NOUN,lieutenant,NN,the lieutenant,4951,DET,his,PRP$,His,4951,4977
279,person,66,NOUN,lieutenant,NN,the lieutenant,4963,PRON,he,PRP,he,4951,4977
280,person,66,NOUN,lieutenant,NN,the lieutenant,4973,PRON,me,PRP,me,4951,4977
281,person,66,NOUN,lieutenant,NN,the lieutenant,5005,PRON,him,PRP,him,4999,5033
282,person,66,NOUN,lieutenant,NN,the lieutenant,5043,PRON,he,PRP,he,5035,5064
283,person,66,NOUN,lieutenant,NN,the lieutenant,5057,PRON,he,PRP,he,5035,5064
284,person,66,NOUN,lieutenant,NN,the lieutenant,5059,PRON,him,PRP,him,5035,5064
285,person,66,NOUN,lieutenant,NN,the lieutenant,5068,PRON,he,PRP,he,5064,5102
286,person,66,NOUN,lieutenant,NN,the lieutenant,5072,PRON,me,PRP,me,5064,5102
287,person,66,NOUN,lieutenant,NN,the lieutenant,5074,PRON,he,PRP,he,5064,5102
288,person,66,NOUN,lieutenant,NN,the lieutenant,5116,PRON,me,PRP,me,5105,5126
289,person,66,NOUN,lieutenant,NN,the lieutenant,5154,PRON,he,PRP,he,5151,5172
290,environment,67,NOUN,countenance,NN,His countenance,4951,NOUN,countenance,NN,His countenance,4951,4977
291,environment,67,NOUN,countenance,NN,His countenance,6162,NOUN,countenance,NN,his countenance,6157,6179
292,person,68,PRON,we,PRP,we,5002,PRON,we,PRP,we,4999,5033
293,person,68,PRON,we,PRP,we,5010,PRON,we,PRP,we,4999,5033
294,person,68,PRON,we,PRP,we,5015,PRON,we,PRP,we,4999,5033
295,person,69,NOUN,stranger,NN,the stranger,5037,NOUN,stranger,NN,the stranger,5035,5064
296,person,69,NOUN,stranger,NN,the stranger,5233,NOUN,stranger,NN,the stranger,5220,5236
297,person,69,NOUN,stranger,NN,the stranger,5322,NOUN,stranger,NN,The stranger,5322,5347
