,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,emma
148,Subject,,,10774,60,0.4215303777659647,,,,Feature,,,,,,,,,Category,,
149,Subject,,,10764,70,0.3329219533441306,,,,Feature,,,,,,,,,Category,,
150,Subject,,,10833,1,0.17020747611903037,,,,,Feature,,,,,,,,Category,,
151,Subject,,,10829,5,0.8458505496431808,,,,,Feature,,,,,,,,Category,,
152,Subject,,,10824,10,1.676601239941935,,,,,Feature,,,,,,,,Category,,
153,Subject,,,10819,15,2.489127350013367,,,,,Feature,,,,,,,,Category,,
154,Subject,,,10814,20,3.279985101025094,,,,,Feature,,,,,,,,Category,,
155,Subject,,,10804,30,4.7765129416330945,,,,,Feature,,,,,,,,Category,,
156,Subject,,,10794,40,4.563679395851027,,,,,Feature,,,,,,,,Category,,
157,Subject,,,10784,50,3.9421752034859936,,,,,Feature,,,,,,,,Category,,
158,Subject,,,10774,60,3.3229720554322144,,,,,Feature,,,,,,,,Category,,
159,Subject,,,10764,70,3.0934175144503335,,,,,Feature,,,,,,,,Category,,
160,Subject,,,10833,1,0.8277782046312301,,,,,,Feature,,,,,,,Category,,
161,Subject,,,10829,5,4.059625370772827,,,,,,Feature,,,,,,,Category,,
162,Subject,,,10824,10,7.994580042653855,,,,,,Feature,,,,,,,Category,,
163,Subject,,,10819,15,10.88474989935486,,,,,,Feature,,,,,,,Category,,
164,Subject,,,10814,20,12.246444263227685,,,,,,Feature,,,,,,,Category,,
165,Subject,,,10804,30,13.123074934942903,,,,,,Feature,,,,,,,Category,,
166,Subject,,,10794,40,2.2789512609527787,,,,,,Feature,,,,,,,Category,,
167,Subject,,,10784,50,0.6104658580370649,,,,,,Feature,,,,,,,Category,,
168,Subject,,,10774,60,0.20948799761835282,,,,,,Feature,,,,,,,Category,,
169,Subject,,,10764,70,0.13915022546871647,,,,,,Feature,,,,,,,Category,,
170,Subject,,,10833,1,0.28457075412373195,,,,,,,Feature,,,,,,Category,,
171,Subject,,,10829,5,1.4203016275711702,,,,,,,Feature,,,,,,Category,,
172,Subject,,,10824,10,2.8184056142064846,,,,,,,Feature,,,,,,Category,,
173,Subject,,,10819,15,4.167879055168531,,,,,,,Feature,,,,,,Category,,
174,Subject,,,10814,20,5.4338967359636206,,,,,,,Feature,,,,,,Category,,
175,Subject,,,10804,30,7.6125222769919345,,,,,,,Feature,,,,,,Category,,
176,Subject,,,10794,40,5.683283207409443,,,,,,,Feature,,,,,,Category,,
177,Subject,,,10784,50,3.8258125112812555,,,,,,,Feature,,,,,,Category,,
178,Subject,,,10774,60,2.630524843773775,,,,,,,Feature,,,,,,Category,,
179,Subject,,,10764,70,2.3000304988239235,,,,,,,Feature,,,,,,Category,,
180,Subject,,,10833,1,0.275454034895284,,,,,,,,Feature,,,,,Category,,
181,Subject,,,10829,5,1.3673529066865195,,,,,,,,Feature,,,,,Category,,
182,Subject,,,10824,10,2.7053550382108336,,,,,,,,Feature,,,,,Category,,
183,Subject,,,10819,15,3.992866338127764,,,,,,,,Feature,,,,,Category,,
184,Subject,,,10814,20,5.2063263993845625,,,,,,,,Feature,,,,,Category,,
185,Subject,,,10804,30,7.307689648010765,,,,,,,,Feature,,,,,Category,,
186,Subject,,,10794,40,5.640793342604867,,,,,,,,Feature,,,,,Category,,
187,Subject,,,10784,50,3.9540387533229433,,,,,,,,Feature,,,,,Category,,
188,Subject,,,10774,60,2.8689481079854184,,,,,,,,Feature,,,,,Category,,
189,Subject,,,10764,70,2.5101706719965753,,,,,,,,Feature,,,,,Category,,
190,Subject,,,10833,1,0.28338956729943443,,,,,,,,,Feature,,,,Category,,
191,Subject,,,10829,5,1.4134024504176574,,,,,,,,,Feature,,,,Category,,
192,Subject,,,10824,10,2.8106068309313663,,,,,,,,,Feature,,,,Category,,
193,Subject,,,10819,15,4.163395522753901,,,,,,,,,Feature,,,,Category,,
194,Subject,,,10814,20,5.415982249119262,,,,,,,,,Feature,,,,Category,,
195,Subject,,,10804,30,7.583075895329185,,,,,,,,,Feature,,,,Category,,
196,Subject,,,10794,40,5.675103997540277,,,,,,,,,Feature,,,,Category,,
197,Subject,,,10784,50,3.8545656386618994,,,,,,,,,Feature,,,,Category,,
198,Subject,,,10774,60,2.714236326920929,,,,,,,,,Feature,,,,Category,,
199,Subject,,,10764,70,2.3697285912470263,,,,,,,,,Feature,,,,Category,,
200,Subject,,,10833,1,0.19808650315307608,,,,,,,,,,Feature,,,Category,,
201,Subject,,,10829,5,0.9878798682086053,,,,,,,,,,Feature,,,Category,,
202,Subject,,,10824,10,1.9631160743418283,,,,,,,,,,Feature,,,Category,,
203,Subject,,,10819,15,2.9131021468089715,,,,,,,,,,Feature,,,Category,,
204,Subject,,,10814,20,3.831671681436256,,,,,,,,,,Feature,,,Category,,
205,Subject,,,10804,30,5.528497827545544,,,,,,,,,,Feature,,,Category,,
206,Subject,,,10794,40,5.001316142510824,,,,,,,,,,Feature,,,Category,,
207,Subject,,,10784,50,4.0634590063597456,,,,,,,,,,Feature,,,Category,,
208,Subject,,,10774,60,3.291428759996102,,,,,,,,,,Feature,,,Category,,
209,Subject,,,10764,70,3.026712655031895,,,,,,,,,,Feature,,,Category,,
210,Subject,,,10833,1,0.3818056037617986,,,,,,,,,,,Feature,,Category,,
211,Subject,,,10829,5,1.901740985454982,,,,,,,,,,,Feature,,Category,,
212,Subject,,,10824,10,3.764272605718208,,,,,,,,,,,Feature,,Category,,
213,Subject,,,10819,15,5.502418844229692,,,,,,,,,,,Feature,,Category,,
214,Subject,,,10814,20,7.064197748888294,,,,,,,,,,,Feature,,Category,,
215,Subject,,,10804,30,9.496829807768234,,,,,,,,,,,Feature,,Category,,
216,Subject,,,10794,40,5.6596153763697865,,,,,,,,,,,Feature,,Category,,
217,Subject,,,10784,50,3.1603890921602473,,,,,,,,,,,Feature,,Category,,
218,Subject,,,10774,60,1.9176381426995281,,,,,,,,,,,Feature,,Category,,
219,Subject,,,10764,70,1.6038911125395776,,,,,,,,,,,Feature,,Category,,
220,Subject,,,10833,1,0.8559233107967151,,,,,,,,,,,,Feature,Category,,
221,Subject,,,10829,5,4.178850333355211,,,,,,,,,,,,Feature,Category,,
222,Subject,,,10824,10,8.218191801132141,,,,,,,,,,,,Feature,Category,,
223,Subject,,,10819,15,11.127984990979314,,,,,,,,,,,,Feature,Category,,
224,Subject,,,10814,20,12.395756353935452,,,,,,,,,,,,Feature,Category,,
225,Subject,,,10804,30,13.171391658793718,,,,,,,,,,,,Feature,Category,,
226,Subject,,,10794,40,2.132344287791405,,,,,,,,,,,,Feature,Category,,
227,Subject,,,10784,50,0.5598680541646677,,,,,,,,,,,,Feature,Category,,
228,Subject,,,10774,60,0.18885729596935433,,,,,,,,,,,,Feature,Category,,
229,Subject,,,10764,70,0.12675588643176872,,,,,,,,,,,,Feature,Category,,
230,,Category,Feature,10833,1,0.207648678580609,,,,,,,,,,,,,,Subject,
231,,Category,Feature,10829,5,1.0239062778749797,,,,,,,,,,,,,,Subject,
232,,Category,Feature,10824,10,2.0201584920635716,,,,,,,,,,,,,,Subject,
233,,Category,Feature,10819,15,2.955063230645452,,,,,,,,,,,,,,Subject,
234,,Category,Feature,10814,20,3.810150425258974,,,,,,,,,,,,,,Subject,
235,,Category,Feature,10804,30,5.2894816510711005,,,,,,,,,,,,,,Subject,
236,,Category,Feature,10794,40,4.249800509650879,,,,,,,,,,,,,,Subject,
237,,Category,Feature,10784,50,3.3290665395351704,,,,,,,,,,,,,,Subject,
238,,Category,Feature,10774,60,2.7226355316080766,,,,,,,,,,,,,,Subject,
239,,Category,Feature,10764,70,2.563744334805178,,,,,,,,,,,,,,Subject,
240,,,,10833,1,0.8277782046312301,Category,Feature,,,,,,,,,,,,Subject,
241,,,,10829,5,4.059625370772827,Category,Feature,,,,,,,,,,,,Subject,
242,,,,10824,10,7.994580042653855,Category,Feature,,,,,,,,,,,,Subject,
243,,,,10819,15,10.88474989935486,Category,Feature,,,,,,,,,,,,Subject,
244,,,,10814,20,12.246444263227685,Category,Feature,,,,,,,,,,,,Subject,
245,,,,10804,30,13.123074934942903,Category,Feature,,,,,,,,,,,,Subject,
246,,,,10794,40,2.2789512609527787,Category,Feature,,,,,,,,,,,,Subject,
247,,,,10784,50,0.6104658580370649,Category,Feature,,,,,,,,,,,,Subject,
248,,,,10774,60,0.20948799761835282,Category,Feature,,,,,,,,,,,,Subject,
249,,,,10764,70,0.13915022546871647,Category,Feature,,,,,,,,,,,,Subject,
250,,,,10833,1,0.30353964661295185,Category,,Feature,,,,,,,,,,,Subject,
251,,,,10829,5,1.512766601256823,Category,,Feature,,,,,,,,,,,Subject,
252,,,,10824,10,2.99368157079479,Category,,Feature,,,,,,,,,,,Subject,
253,,,,10819,15,4.410484961064546,Category,,Feature,,,,,,,,,,,Subject,
254,,,,10814,20,5.725429819062111,Category,,Feature,,,,,,,,,,,Subject,
255,,,,10804,30,7.9537759641779004,Category,,Feature,,,,,,,,,,,Subject,
256,,,,10794,40,5.681820679916868,Category,,Feature,,,,,,,,,,,Subject,
257,,,,10784,50,3.7633026503989937,Category,,Feature,,,,,,,,,,,Subject,
258,,,,10774,60,2.6161461674302218,Category,,Feature,,,,,,,,,,,Subject,
259,,,,10764,70,2.2961612442886707,Category,,Feature,,,,,,,,,,,Subject,
260,,,,10833,1,0.6916624284877356,Category,,,Feature,,,,,,,,,,Subject,
261,,,,10829,5,3.4311011418955024,Category,,,Feature,,,,,,,,,,Subject,
262,,,,10824,10,6.775062407793956,Category,,,Feature,,,,,,,,,,Subject,
263,,,,10819,15,9.542672436262716,Category,,,Feature,,,,,,,,,,Subject,
264,,,,10814,20,11.296013981591248,Category,,,Feature,,,,,,,,,,Subject,
265,,,,10804,30,12.776385851809195,Category,,,Feature,,,,,,,,,,Subject,
266,,,,10794,40,3.16925687843306,Category,,,Feature,,,,,,,,,,Subject,
267,,,,10784,50,0.9619268427906914,Category,,,Feature,,,,,,,,,,Subject,
268,,,,10774,60,0.4215303777659647,Category,,,Feature,,,,,,,,,,Subject,
269,,,,10764,70,0.3329219533441306,Category,,,Feature,,,,,,,,,,Subject,
270,,,,10833,1,0.0243455519443729,Category,,,,Feature,,,,,,,,,Subject,
